"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"sp|P84090|ERH_HUMAN",93331.4892541299,86617.1529162995,230847.0058,254079.848649377,418804.53101646,391200.934871583,14733.5990846798,2361796.00775108,1753881.43066584,1100226.99873695,1233593.52780902,1475931.71914872,1613133.55171779,"3.84996867327367","0.0392450321813228"
"sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN;sp|P01622|KV304_HUMAN;sp|P04206|KV307_HUMAN",4775773.66407793,11084182.2878517,31800000,21504833.5752244,21154728.14038,23006005.9821475,2047363.31458468,22796795.4598554,20179746.153016,49676545.7230764,50731530.6382838,19671587.0212844,19416231.6019698,"-1.52513520925071","-0.0152971497939435"
"sp|RETBP_HUMAN|",79647.1494978602,66937.1873728873,151313.4623,105425.170763921,294244.983005059,332254.93963031,138389.771407167,113098.757526554,151224.438753683,210184.028937676,202868.962808044,159467.976638366,217599.417025483,"-3.25180717699679","-0.0329313637159433"
"sp|P51692|STA5B_HUMAN;sp|P42229|STA5A_HUMAN",28622.2263013283,35787.943448157,80342.34736,74414.6952414928,127588.930814777,134919.446547698,19115.3156347009,298413.29174989,294005.222990292,275416.187151434,276125.973911278,200138.649227533,266347.948754702,"0.240207574736948","0.00234063444599264"
"sp|Q15118|PDK1_HUMAN",16786.8127024837,15308.5166902272,27437.69386,20680.6075143873,46598.4904295736,42913.5944903216,17125.9939383258,270016.284231948,238648.152206065,754002.283962728,923279.704193785,338455.269020114,421839.728177301,"2.2358048788396","0.0222528464540562"
"sp|P08253|MMP2_HUMAN",13178.4359170016,16884.9737366352,105897.4095,86954.8748102904,34188.1609372451,31849.129827907,5453.59371472836,245425.490882523,202130.680952008,548335.870741012,560576.897882207,110998.819895244,127366.609522934,"-0.814852342015344","-0.00785440782313372"
"sp|Q96H20|SNF8_HUMAN",16897.1744213028,17050.1581647527,53193.74492,52762.433021686,81567.5142431998,67560.8147345861,15206.1465365446,147639.682831855,143448.99017159,109495.231195899,84137.4273667153,206452.839067983,201927.284664982,"3.54923325013611","0.0352086461961758"
"sp|Q96DI7|SNR40_HUMAN",25172.9148316487,33036.9239182709,38001.13995,39483.5376890208,167281.303258356,130836.995963846,8597.31309504065,471857.373113549,389674.496890686,422728.297156735,386935.619544501,303942.513744716,317454.11177241,"-0.831105720942484","-0.00806563054580594"
"sp|Q29RF7|PDS5A_HUMAN",39434.1216939819,41381.1923911786,71999.64427,63023.1004017564,113358.339158874,134463.935417277,22761.9194851761,292206.426433194,263681.162896136,588526.8907205,381027.398839502,300160.886359277,335482.930815776,"2.07788319619674","0.0206093697892292"
"sp|Q96SQ9|CP2S1_HUMAN",48589.9829809942,38347.5578191722,134619.9431,113652.293940731,74850.8636162181,86022.802389405,36497.7533284876,488443.262117627,476233.056494067,177610.11174651,198600.608426172,427128.120641499,439463.009205928,"-2.70812194854539","-0.0279105962959356"
"sp|P0DMM9|ST1A3_HUMAN",242264.286056108,262470.33816704,486863.9346,456320.73937414,776569.608832292,754125.653908304,14242.8238247461,153719.063311922,144061.378519662,176403.665136339,175789.50431933,200124.042474426,181121.329139022,"3.745638627824","0.0387761650903933"
"sp|O75569|PRKRA_HUMAN",52598.1828674772,73558.5229061455,95469.51176,59696.7555484246,99270.9777419499,95008.917585711,26456.6831517649,246438.062524138,223643.234708703,308852.538347713,273443.695569305,327904.512638773,259412.218058113,"1.93952392957742","0.018954122377066"
"sp|Q13976|KGP1_HUMAN",30711.0227674425,46747.5047477546,154224.22,124272.251078712,215895.930748723,205106.560610618,24512.7457493681,158007.571777302,178610.627095411,294595.423948403,295108.618104917,73262.413151964,72748.5418321781,"-2.34457349716869","-0.0249198802282705"
"sp|Q9UIJ7|KAD3_HUMAN",66858.4388181689,86579.0479969684,97464.42001,78953.7524795364,292086.469568725,376934.171236749,35988.1025897056,373450.906158756,650784.799122924,377040.013878393,359715.206316328,351532.471672185,553522.185165154,"2.66554943259574","0.0272118926872798"
"sp|P01920|DQB1_HUMAN",27123.7704090438,23882.1610140627,118528.6886,93295.9028848953,229862.729629976,189318.087178995,230942.770835228,71192.4075701103,86270.4041998749,344018.440621122,355999.371084396,94074.8745536988,130595.743488951,"-3.61333944508966","-0.0357382442874524"
"sp|P49406|RM19_HUMAN",46269.5573960279,67999.6770426755,109850.67,146188.475793973,116010.986291952,129100.65481212,22844.0886275447,392712.830243216,372155.085805368,384708.802839206,465083.425723013,197095.28474803,237830.338577487,"-1.63765071544676","-0.0167867874326194"
"sp|Q4G0N4|NAKD2_HUMAN",9124.89863301028,7266.88831263392,12108.12304,8021.43060492391,37485.2177027274,35871.2784474491,961.17354448629,142700.696304023,63679.8356004548,58485.8342987743,156199.121549434,85638.4920867236,86590.5920418434,"-3.3312308872558","-0.0338570331501618"
"sp|P23743|DGKA_HUMAN",4130.49556063973,10247.36854721,12514.01698,8999.78736699407,39704.7886480513,53108.4354566633,1924.06656824962,516288.858033082,429396.184867415,333579.288879659,323739.028991378,383240.566261252,402800.892251338,"-1.08094036109848","-0.010804904581447"
"sp|Q06828|FMOD_HUMAN",50226.8879915653,46196.0438205247,308996.9056,204746.004647755,386060.922549332,348325.037190151,45981.286920201,173868.773721897,156681.885845007,4018803.59683245,4011883.3322212,198150.700296794,189621.114360486,"2.08304450860947","0.0208088154856926"
"sp|P07948|LYN_HUMAN",99227.6884877306,126178.685175276,149830.6266,99357.429286353,220077.467815018,262575.974976604,46443.7282148664,819397.352265185,863613.172559555,715744.003583242,758239.763515219,650931.592616881,467700.867102036,"-2.28643792454828","-0.0239548686115007"
"sp|Q04837|SSBP_HUMAN",56794.6700644743,72113.526364406,78016.51647,86740.7500264971,87081.2007324789,95479.4264836117,81119.4899061058,777706.727827827,509618.504476364,136105.143916301,127757.99497445,524539.586365978,432007.831777044,"-2.2933248431278","-0.0235899265768963"
"sp|P48739|PIPNB_HUMAN",221650.316209124,196689.707300608,434880.149,255079.893301334,537247.710561645,618113.58186525,42920.2013837989,927976.144362924,848725.384989997,1488326.89148747,1659128.77340518,564737.285392496,558508.249259589,"-0.917877824500715","-0.0085527146516297"
"sp|O60547|GMDS_HUMAN",47461.0911587084,63143.7370440298,72967.98685,79412.958523865,41178.7997639463,45961.5610464215,46695.2615521121,208498.298650627,207453.255891821,300640.034205319,246666.829138381,158293.222807194,207272.621944261,"1.64453695668676","0.0156925159868179"
"sp|O14936|CSKP_HUMAN",9521.72865103794,17323.4056221161,41231.37746,29281.9505382316,34254.5561413027,41062.6136946459,1722.55308705465,205664.187876623,216508.994969978,238848.797203666,259406.706879085,158019.607824546,203394.198711091,"-2.31941135908403","-0.0231255190758559"
"sp|P46087|NOP2_HUMAN",4651.11101960025,5985.00557052555,4348.905948,6858.47225835737,20507.8103997444,13364.9598716377,853.907588611047,170669.571318736,156137.613275627,216932.367918589,199809.172357135,59470.9980642542,60027.5809996115,"3.20451891981445","0.0325151219814295"
"sp|Q92538|GBF1_HUMAN",5140.00291477639,5279.61356219136,30809.89954,7815.31384929959,40092.7832401389,37331.5003874568,1395.62441986351,127795.482400701,101496.09589208,389485.717662604,325191.860801221,55986.4675869113,78287.151854362,"1.03258142832179","0.0103493929408924"
"Int_P61626ups|LYSC_HUMAN_UPS",435188.945995848,706492.789887385,511641.6132,904353.055505742,637370.518598469,582162.517586458,599195.85505794,1540192.44865472,1616932.94689476,562167.249397302,375793.655884098,704058.937241429,1357659.26466476,"4.64722641646168","0.0453223611207009"
"sp|Q15109|RAGE_HUMAN",275864.149139113,296425.633652166,1399837.141,1417496.74116938,2225521.76943394,2163707.88651962,94685.6194294065,436853.294257204,316704.5647983,497592.335627165,542468.41210926,230362.974902397,183944.658742485,"-3.57465681799663","-0.0353480376406492"
"sp|P28161|GSTM2_HUMAN",5846.98253484227,5988.14695818807,21686.59545,24773.2303122782,13596.1313302484,14826.9014165992,3595.40905862665,34928.3647008943,32949.4107630947,35407.4930731374,31622.5777785104,14603.0490909128,15441.1891741609,"0.325367381762206","0.00321851574880827"
"sp|P15428|PGDH_HUMAN",2110.48269684305,2913.27323120219,31764.84464,48960.4297794161,184341.108749446,206143.186891405,4451.36520625774,14363.4965431176,12902.1686711061,15752.7088352262,21080.5960141428,26541.8795284283,33015.1916163931,"3.25753766755776","0.0330123769758225"
"sp|O60784|TOM1_HUMAN",154358.303543879,223635.468598586,330766.4574,302599.817224977,462097.252009609,445868.660104592,68280.160647888,498755.671533246,508470.409861152,895983.138907696,866469.439393256,524294.254327519,566262.720632419,"-2.24104733098739","-0.0226524992766954"
"sp|Q9NS69|TOM22_HUMAN",10486.107345253,37717.8654288327,107087.1701,93751.0419350981,65684.5037035244,71226.5952816276,12327.2551249065,395227.336729634,389226.327362667,177982.672199432,226173.383564263,580347.104236597,200272.304165751,"-4.57005263911249","-0.0460469009067707"
"sp|Q06203|PUR1_HUMAN",1738.46296351823,1263.01098449789,753.9814123,869.294174599868,10986.0406509282,30867.3419788872,8254.10625330995,181769.086098284,227599.739551093,141308.785571905,162345.140769951,70222.923951115,90855.9196514021,"3.3714672426539","0.0325005591781775"
"sp|Q9UPY8|MARE3_HUMAN",19964.0550188277,31584.3453448725,45068.55084,17614.4609773216,73310.5057872982,48945.9736363203,4882.20375534852,64968.1511480773,48541.6798429066,124809.238320678,163596.284238263,147119.599928152,157904.697775426,"-2.00253901886268","-0.0199001452627157"
"sp|Q99729|ROAA_HUMAN",16660.0032788627,16987.2731703943,43098.32745,45020.4286312402,59707.1516742313,61681.705718247,5884.56333723782,174815.928194902,279861.343219115,272331.483650684,288408.83230249,128183.695236443,89034.0214302755,"0.0972203747578601","0.00100296967061237"
