"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1061","sp|O00625|PIR_HUMAN",4880514.58701202,3006080.99984771,1154821.07786278,1151435.96615803,4945670.90313381,4925268.94503277,1138024.37881312,1201980.93388555,1117616.91741045,1030597.57123812,4589135.58503364,4703255.09116926,3858202.43410909,4530424.67320038,8596802.38808184,7757243.9710797,10038511.6122889,10150776.2053217,5767986.992056,6310300.55140758,3361747.66429493,3331424.67392554,7343664.10530142,6749271.93897753,4072419.35867337,3975333.60537842,608938.324274981,624021.04607825,1203103.02503203,660792.504297922,8860815.42004701,6444297.34381669
"1062","sp|Q9UJU6|DBNL_HUMAN",10872601.308764,8702763.09267802,8563915.17042942,8991954.44243464,2786342.38015678,3707732.99126477,8143181.52263765,8029977.81500004,11625930.9909842,10758203.1145429,7130944.99494198,6907605.97101831,8919949.48981417,9022880.6317945,17012369.6172483,17267828.285196,17830634.6164098,17527498.5851363,7215219.25598449,7213843.79758985,9877754.26915573,9798384.85739357,10445532.6115364,10077778.6337884,13224878.1886306,14216573.5125696,10638445.4879725,11256032.9023753,10435168.055985,10507020.5348276,10468923.0006416,10191481.5246729
"1063","sp|Q4J6C6|PPCEL_HUMAN",685217.807750938,168964.347805864,4502677.04837011,4622032.65732622,349971.64794628,332977.257216077,4898098.64030538,5735351.40992814,6264036.72787337,6180235.36568216,1473377.04080248,1172646.01155609,948230.364969315,1470224.37729137,1452573.2401733,1480923.93571344,1988614.85644806,1327888.86585894,3957748.610897,3243612.03611147,4634899.43782119,4688304.04646474,3706042.91645506,4014775.57873113,564636.320924132,666821.898864504,6695962.74831211,5851404.96563108,1462789.54626124,1643776.17760344,4131091.24780946,4329417.72380603
"1064","sp|P30519|HMOX2_HUMAN",1605723.28133514,1986158.98211912,5606274.36414709,4958180.48694994,1349465.76983016,1406465.08726242,3750338.28195778,4372782.27688191,4898178.51997226,4729646.73532232,4114881.9981004,4789917.27451413,3329144.66306184,3374173.21238425,4153838.42998997,4136900.23369767,4517037.00548897,4350744.387122,3365120.39960927,3673807.24911484,4838296.39037963,4578950.14023455,4818325.62315059,4920372.18476191,3024570.35393967,3384417.75722481,4324039.6986022,4525204.94336356,2882569.53610012,2971615.58340798,5796020.62683837,6142228.13905636
"1065","sp|P41218|MNDA_HUMAN",8145282.76524713,9840525.86076014,278209.793268495,258137.505262141,1130679.68936596,1038164.75406498,522086.713200051,535095.471902307,251125.868603688,257950.174228663,983722.731104446,1301645.88073334,2257676.61599993,2241844.35948358,2595711.72978554,2748571.86982534,2014226.24652999,1708992.6349619,467211.436846447,523739.471094675,309760.544723164,364740.528742403,479060.577438702,422538.860675568,1504622.45662781,1410919.76970353,167116.603962381,171786.530776219,1081502.66010378,993202.770444279,1367251.80673539,1572045.26215162
"1066","sp|Q16576|RBBP7_HUMAN",4723347.0442828,4865502.20447527,2013880.05053653,2054620.58510332,1930134.61417168,2036424.03171983,3039098.78943441,3109316.02880148,4470207.70656034,4886084.38277646,2821369.60514696,3078482.33838329,3971562.9525376,4366487.16422999,21650221.4288392,22086473.1725019,27464929.1268894,27264997.799101,1982295.2059125,2233623.41221794,2603433.85496304,2452677.18668399,2604298.73396919,2904141.32689288,9778752.17763474,9867116.33186757,2713933.59696479,2587499.0975694,1691956.70062859,1723331.93060683,5934790.46512566,5427375.70996817
"1067","sp|Q15393|SF3B3_HUMAN",7536581.89836881,6927357.71253259,1159854.14069104,1345506.35028358,1873940.54435825,2131645.68167661,1922389.46195818,2063428.33354806,1901615.3984191,1814503.48663144,4335417.62156829,4396921.92935243,5310270.67942833,4870374.85998311,24799344.5457613,23531382.6323852,22719679.5918771,22396248.1921187,2290386.18650202,2001956.28381297,1937448.42085236,1962452.16494451,1971998.73828375,2047889.25288937,11504586.3005952,12745087.377983,1154523.0798643,1311932.37429725,2130895.80237282,2020596.0911943,7489987.52156274,6993053.47480139
"1068","sp|Q9HCC0|MCCB_HUMAN",3713541.26925037,1814237.7082617,2442254.19232093,2294338.24358773,7417959.35987891,6206050.09840557,3080073.59442415,3427578.57179834,3501513.33150876,3461669.26340494,6597336.86606877,6258172.93100804,3003180.10494609,3456971.14922441,14594571.9791708,14296626.0538254,13144801.9958453,11999527.4231288,5359443.69602983,6011461.99835562,4066400.67829264,3765606.21810732,4380827.22448021,4071680.38965083,3795298.28683968,3953806.74803878,3246849.71431511,3205057.06247209,1936540.43282401,5046272.76415225,5374322.26894076,4822467.95689044
"1069","sp|Q07866|KLC1_HUMAN",2329370.86569365,2474764.01900759,3354852.67993135,4083207.98850774,5109766.04205681,5074512.86770362,3219559.81932362,3110608.02377298,5827995.34678106,5814156.16032618,3380514.93210225,2010699.84703909,2951384.64666412,2053787.80496487,4266915.37345885,5590087.20213603,6801720.5999143,5045686.24838705,2520317.41261982,2201292.833905,4697944.83457649,4453133.24398236,4764344.2947666,4309425.97649613,4061228.72546736,4299416.85031901,4096902.02813981,3647891.80653533,3365666.09338562,2348069.44810579,3575545.01751527,8302339.0771197
"1070","sp|Q9BUJ2|HNRL1_HUMAN",3428419.81764101,173453.597024411,1316260.61520234,1339252.98422558,269807.788844604,286227.50253732,1754536.59014231,1728376.69844123,1530663.64649848,1523353.20960478,481288.555666313,478830.533329654,2725764.79026055,2762529.661051,16679920.9745705,15360648.0666099,15529907.5691312,13306506.3458279,1638732.44574452,1543882.22497079,1750685.77253698,1780031.76705323,1991929.74874718,1935552.91375246,738229.031530305,462075.517597715,1296726.85654234,1467381.69960336,726251.326891036,691252.709700874,3864031.0168927,3981840.92102052
