"Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S1","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S1.19","S1.20","S1.21","S1.22","S1.23","S1.24","S1.25","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P52565|GDIR1_HUMAN",30300000,29100000,1.9e+08,1.82e+08,51800000,52700000,79700000,75300000,68500000,6.9e+07,1.69e+08,1.38e+08,91900000,75400000,96800000,89500000,1.32e+08,1.41e+08,1.24e+08,1.14e+08,69700000,68900000,1e+08,1.02e+08,8.8e+07,85400000,1.29e+08,1.3e+08,56100000,59500000,81700000,77100000,0.325,1.6633,0.928258,0.797061,0.819414,0.923447334605879,0.920842304066956,0.815898949803724
"sp|Q99490|AGAP2_HUMAN",1622148.82,3607354.674,1748599.799,1917971.951,144831.7342,124803.7187,1327024.999,1333226.824,891759.5073,806121.2552,6106546.058,6767976.871,354426.5112,3175687.571,2399610.513,3245028.875,4850070.838,4713281.488,5303423.691,4669810.871,2358969.6,2358654.337,3041224.018,3173880.153,479703.793,539380.4317,1077764.637,1000410.192,2312608.846,2240050.119,1759530.433,257157.6945,0.749,1.6628,0.928415,0.79714,0.819387,0.923613096346879,0.92100799984285,0.815872580710038
"sp|P17600|SYN1_HUMAN",20600000,13400000,8.43e+08,8.8e+08,30100000,30800000,5.85e+08,5.4e+08,3.56e+08,3.74e+08,5.37e+08,4.15e+08,1.37e+08,1.17e+08,19100000,18100000,20300000,2.3e+07,8.82e+08,8.2e+08,3.49e+08,3.21e+08,4.08e+08,4.17e+08,62800000,70700000,6.87e+08,7.38e+08,2.74e+08,2.72e+08,70300000,64100000,1.004,1.6622,0.928603,0.797234,0.819355,0.923811656348114,0.921206481757716,0.815840861436507
"sp|Q8N766|EMC1_HUMAN",815999.7971,476692.7567,963104.7617,720829.9194,438810.8897,397859.442,875708.2225,847986.8391,351313.5089,328749.2334,1983391.488,1304908.041,630047.8353,888906.2537,1502695.236,1775142.305,1981947.085,2379511.245,1535958.219,1212904.222,661148.1077,437935.1916,1017091.503,789981.5124,1056315.959,1208702.5,627672.8036,606694.3506,475501.1116,428979.9351,866196.7912,590823.8059,0.405,1.66,0.929298,0.797581,0.819237,0.924557974021733,0.921952398968072,0.815723831408892
"sp|Q9Y265|RUVB1_HUMAN",7238843.21,6359918.542,10500000,11200000,2647514.985,3460363.851,7323733.132,7037958.275,3397477.193,3650273.431,3.4e+07,28100000,14100000,14500000,18800000,18700000,26800000,25200000,12500000,12600000,4516426.285,4824075.491,7049659.386,6520791.824,15400000,1.5e+07,9663658.576,10200000,4517785.699,4391713.595,13700000,12500000,0.521,1.6588,0.929677,0.79777,0.819172,0.924970441665924,0.922364611268066,0.815659518722046
"sp|P04632|CPNS1_HUMAN;sp|Q96L46|CPNS2_HUMAN",3249943.717,2906812.637,6458568.079,6323032.98,1922718.534,2038147.629,4713382.945,4149091.43,2412748.519,2275624.877,7006324.271,5604813.072,4815046.312,4760147.196,5408271.831,6815908.436,7864959.822,7534979.281,5940345.075,5883176.867,4150282.836,4462056.956,4466547.058,5838117.012,7432029.89,8671285.082,6535456.743,5816391.404,1403016.823,1355623.676,7439242.787,7219195.812,0.377,1.6585,0.929772,0.797817,0.819156,0.925071129274577,0.922465248363959,0.815643386847289
"sp|O14639|ABLM1_HUMAN",35294.8346,30515.7407,2550615.884,2874396.709,196543.8959,183501.1078,1959397.135,2093375.556,1164364.533,1092627.674,1015602.804,898534.2738,275628.1929,254343.3764,241319.1092,160477.0856,600886.3832,441228.6476,1141396.515,1121927.275,497235.1219,576543.8512,708372.4311,640249.1728,223713.6753,114105.6287,1344502.045,1320523.293,403648.2214,195012.2744,540228.7796,652678.2765,0.818,1.658,0.929931,0.797896,0.819128,0.92523872635662,0.922632761913795,0.815616453332259
"sp|P62068|UBP46_HUMAN",6668.8585,11411.4273,811113.5356,751634.9129,17920.4723,125547.4117,671322.2101,562899.699,402854.6405,484543.0379,901067.4525,418258.2565,167211.0266,87401.5923,68047.0381,26081.6174,40267.6121,33061.5952,376486.2481,351232.5531,187040.889,168889.1449,166744.4744,156106.7856,100171.694,65140.2542,322313.5703,958365.0086,114233.281,136005.7321,74516.6188,407642.3453,0.914,1.6575,0.930089,0.797974,0.819101,0.925406053797089,0.922800006641798,0.8155894610247
"sp|Q9Y224|CN166_HUMAN",2594363.4,3131764.419,7456562.922,7589072.559,1420056.389,1650829.135,4243107.858,4123781.89,3010528.584,3064258.151,11200000,8183015.146,4682292.562,4117293.881,5992862.611,5589805.503,7774340.468,7824617.901,5413731.591,5306261.272,3222854.57,3322501.013,4486879.631,5159340.898,4236382.624,4410968.663,6129671.523,6409965.06,1538377.436,1680774.692,5567172.645,4652320.977,0.379,1.655,0.930883,0.798369,0.818964,0.926256499212848,0.923649948175768,0.815453610897071
"sp|P61601|NCALD_HUMAN",407874.4968,241629.4914,8298578.64,10200000,69226.9133,79950.5169,2723112.08,2721327.607,5512179.78,5103179.552,2090897.377,1183567.135,1099475.618,1270195.517,830957.1513,760185.7663,1076636.642,1193070.49,3625842.326,3475428.721,3803518.656,4608972.408,5097022.334,4805131.813,159947.2593,225341.8356,13500000,12600000,313532.6906,240058.2877,2787681.145,2323575.303,1.143,1.6541,0.931169,0.798511,0.818914,0.926558444805224,0.923951732132475,0.815404341016494
"sp|Q8WUM0|NU133_HUMAN",288564.9124,203241.4103,262184.9876,186023.4294,115300.9405,135526.9064,179702.865,185666.1654,104202.122,150893.8839,857541.3191,579236.3655,521682.4663,469167.3821,1796274.501,1469747.211,1820363.908,1722586.148,245581.1148,311309.2452,149155.8548,174343.344,227599.3324,256159.9468,706114.7587,564337.2471,183491.0724,175198.9294,104115.4988,157949.9156,662999.6809,643685.3105,0.65,1.6533,0.931423,0.798637,0.81887,0.926838803358212,0.924231876314383,0.815360383925033
"sp|Q9NVT9|ARMC1_HUMAN",109401.3758,115616.2055,2362626.728,2023662.447,211117.37,215290.0788,1611650.113,1812244.657,946273.0114,899829.229,1608044.58,1400204.419,412732.2601,404179.0833,515935.1172,472257.8626,688524.3496,762382.142,1635614.656,1615881.525,712434.8174,882335.894,946003.9037,921620.108,130405.1424,165069.8646,1540927.324,1764133.428,519762.3436,480328.8902,250773.1326,227613.7063,0.634,1.6532,0.931455,0.798653,0.818865,0.926872633868185,0.924265686872541,0.815354878260833
"sp|Q9NTK5|OLA1_HUMAN",2069421.48,1694872.594,17400000,19200000,3567214.278,3080504.572,9260981.451,8500227.147,6938290.113,7111101.053,15100000,1.2e+07,5360790.894,4976801.215,6201832.659,6474191.835,8345406.887,8983818.337,10600000,10100000,7859446.463,7978836.082,9844657.935,10600000,3759790.441,3880883.201,13800000,15500000,3020618.966,3003229.36,6209919.189,6034131.074,0.457,1.6522,0.931775,0.798811,0.818809,0.927210342526544,0.924603197831963,0.815299690320474
"sp|Q13554|KCC2B_HUMAN",1395716.282,1429047.056,56500000,6.1e+07,1336102.704,1326093.841,36300000,38900000,22900000,21600000,37100000,31700000,4880742.328,3711035.168,3144193.949,3161216.88,3797159.875,3977998.822,24600000,22800000,19400000,18600000,17400000,18100000,2291106.322,3066563.384,52100000,41500000,9704847.743,9145884.038,9554965.123,7300150.434,0.871,1.6503,0.93238,0.799111,0.818703,0.927862096921878,0.925254510546591,0.815194174822275
"sp|Q9Y2T3|GUAD_HUMAN",5415039.322,4911618.967,1.13e+08,1.23e+08,7472478.567,7337554.205,67900000,58900000,50500000,50100000,1.02e+08,80800000,18800000,18700000,9704472.819,9780285.796,12400000,11800000,82700000,84700000,38300000,37400000,52400000,5.6e+07,18700000,18700000,95500000,9.7e+07,21400000,21600000,19100000,19700000,0.685,1.6492,0.932733,0.799284,0.818641,0.928234601345601,0.925626782156462,0.815132687990552
"sp|Q9UI12|VATH_HUMAN",3627593.732,6720013.29,47600000,53800000,4571237.065,4769973.207,32800000,30700000,20400000,20900000,37500000,32600000,9763953.751,9238951.779,6525306.387,6798890.679,8330030.115,8292018.768,46600000,54200000,24800000,24300000,31600000,3e+07,8256186.794,9242132.867,37500000,46500000,12200000,1.2e+07,12100000,1e+07,0.594,1.6492,0.932733,0.799284,0.818641,0.928234601345601,0.925626782156462,0.815132687990552
"sp|Q9BZZ5|API5_HUMAN",1322992.065,791222.2184,1021648.186,972892.8259,519610.0693,553029.3207,685124.4073,694977.7004,470392.0487,440257.3927,4125627.317,3796728.135,1563083.516,2106956.857,3512651.758,4615339.943,5642234.901,5940893.531,1744042.089,1745089.341,842739.6632,836969.9047,1143803.726,1118494.256,2816064.675,3603686.166,834082.7039,1020483.692,578604.8864,566993.1775,1453670.723,1267197.59,0.571,1.6485,0.932956,0.799395,0.818601,0.928470963742449,0.925862998491885,0.815093408698156
"sp|Q86WG3|ATCAY_HUMAN",184191.8031,196658.3676,4438997.19,4967327.04,582229.8493,622990.4341,3679778.835,3390130.792,2158577.819,2188698.198,2767832.015,2519423.847,975780.0449,780062.1742,722004.8715,655358.8252,664492.422,789818.4993,4404787.575,4270728.999,1847758.354,1805878.131,2160863.28,2262783.6,683350.7641,735276.5819,4155349.004,4294738.204,1601611.274,1690198.644,623821.7076,500563.382,0.646,1.6483,0.93302,0.799427,0.81859,0.928538397794243,0.925930391110875,0.815082164444206
