"Protein","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|Q13201|MMRN1_HUMAN",78911.1912,131261.4826,160573.9844,8101207.875,5953134.445,6387950.333,4.027,13.1769,0,0,0.430485,1.46226874105742e-30,1.01109812506569e-30,0.432098172037155
"sp|P01714|LV301_HUMAN",16100000,15800000,15700000,1.48e+08,1.21e+08,1.42e+08,2.157,11.2627,0,0,0.431236,3.11118525191593e-22,1.59841286961988e-22,0.432852291852431
"sp|P01768|HV307_HUMAN",2156740.377,906582.4958,1279094.083,33300000,20500000,39500000,3.086,9.1092,0,0,0.432067,1.41870178454096e-14,8.80850821141008e-15,0.433692128716901
"sp|P01619|KV301_HUMAN",5591540.094,4102552.67,3738287.283,34600000,25400000,2.8e+07,1.89,8.6637,0,0,0.433015,2.24147275648967e-13,1.64361126353748e-13,0.434640744244705
"sp|P01876|IGHA1_HUMAN",4.26e+09,2.86e+09,3.44e+09,2.8e+10,2.1e+10,2.44e+10,1.943,8.5696,0,0,0.433266,4.18499885714689e-13,3.10742695278323e-13,0.434892388182838
"sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",4.19e+09,3.41e+09,4.81e+09,2.25e+10,1.94e+10,2.68e+10,1.708,8.0785,0,0,0.434924,7.49437267818797e-12,6.20095083501583e-12,0.436568271503321
"sp|P01772|HV311_HUMAN",9840140.394,7228044.901,7911128.318,83900000,70300000,1.57e+08,2.48,8.0296,0,0,0.435155,9.72484663631246e-12,8.13730337719279e-12,0.436800572440555
"sp|P06889|LV405_HUMAN",16200000,15100000,9172344.948,1.46e+08,1.1e+08,1.24e+08,2.242,7.8253,0,0,0.436284,3.04424121633849e-11,2.62714533675998e-11,0.437928208856111
"sp|P17900|SAP3_HUMAN",2476859.183,3045327.986,3184360.609,14200000,1.8e+07,14900000,1.687,7.7599,0,0,0.436688,4.48003513960883e-11,3.88600327347374e-11,0.438332210707114
"sp|P01834|IGKC_HUMAN",3.16e+09,2.97e+09,3.49e+09,2.18e+10,1.55e+10,2.52e+10,1.865,7.6511,0,0,0.437391,8.5751635325648e-11,7.48559366110001e-11,0.439036875977422
"sp|P01769|HV308_HUMAN",2783795.594,1113835.004,1735583.202,2.3e+07,3e+07,4.8e+07,2.917,7.6374,0,0,0.437482,9.29955068995711e-11,8.12427527621892e-11,0.439128342723252
"sp|P04746|AMYP_HUMAN",22760.7272,18240.3879,38222.6061,359632.996,604246.8146,286260.1306,2.735,7.427,0,0,0.438982,2.94449737813919e-10,2.62384040840518e-10,0.440649920907368
"sp|P01597|KV105_HUMAN",3.23e+08,2.54e+08,2.3e+08,1.44e+09,1.07e+09,1.41e+09,1.558,7.191,0,0,0.441245,8.46860711374946e-10,7.8176129308053e-10,0.442944237862606
"sp|P80748|LV302_HUMAN",9.9e+07,1.18e+08,61200000,6.14e+08,5.61e+08,8.25e+08,1.992,7.0791,0,0,0.442697,1.3837263219008e-09,1.2934280962784e-09,0.444400959606865
"sp|P01766|HV305_HUMAN",73100000,60700000,69700000,3.51e+08,2.41e+08,3.43e+08,1.518,7.0203,0,0,0.443567,1.81470051089282e-09,1.70436707723453e-09,0.445270045223068
"sp|P01599|KV107_HUMAN;sp|P01610|KV118_HUMAN",3.23e+08,2.54e+08,2.3e+08,1.44e+09,1.07e+09,1.41e+09,1.585,6.9801,0,0,0.444201,2.19619997711969e-09,2.06815662841695e-09,0.44590236844329
"sp|P01613|KV121_HUMAN",21300000,14800000,25100000,1.82e+08,1.11e+08,1.37e+08,1.948,6.9661,0,0,0.444428,2.35453562416422e-09,2.21881252898592e-09,0.44612933862503
"sp|A0M8Q6|LAC7_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",3.07e+09,2.32e+09,3.15e+09,1.45e+10,1.26e+10,1.8e+10,1.682,6.959,0,0,0.444545,2.43630410191491e-09,2.29682083918499e-09,0.446245608504446
"sp|P01593|KV101_HUMAN",3.28e+08,2.58e+08,2.35e+08,1.51e+09,1.12e+09,1.47e+09,1.62,6.9564,0,0,0.444588,2.46696000371139e-09,2.32607182370672e-09,0.446288411975097
"sp|P01608|KV116_HUMAN",3.24e+08,2.54e+08,2.3e+08,1.44e+09,1.07e+09,1.42e+09,1.577,6.9169,0,0,0.445253,2.99911146502665e-09,2.83323833061582e-09,0.446952049008866
"sp|P01620|KV302_HUMAN;sp|P18135|KV312_HUMAN",89700000,1.11e+08,8.7e+07,4.41e+08,3.59e+08,4.55e+08,1.47,6.8948,0,0,0.445636,3.3567119039468e-09,3.17369326061277e-09,0.447333487301296
"sp|P06331|HV209_HUMAN;sp|P01825|HV207_HUMAN",55300000,30100000,4.4e+07,3.47e+08,2.16e+08,3.83e+08,1.994,6.8714,0,0,0.446048,3.7729907665344e-09,3.57073717273652e-09,0.447744638633039
"sp|P16930|FAAA_HUMAN",2650560.346,2114506.202,2867101.423,9953827.882,11300000,1.2e+07,1.471,6.8492,0,0,0.446445,4.23709654412342e-09,4.01242771964781e-09,0.448140671875036
"sp|P01621|KV303_HUMAN;sp|P18135|KV312_HUMAN",13800000,1e+07,6334801.708,79700000,75600000,84200000,2.13,6.8014,0,0,0.447318,5.44714678410586e-09,5.16428650689669e-09,0.449012625070471
"sp|P04206|KV307_HUMAN;sp|P18135|KV312_HUMAN;sp|P18136|KV313_HUMAN",7.5e+07,1.02e+08,75700000,3.98e+08,2.9e+08,3.89e+08,1.426,6.7258,0,0,0.448739,8.13331747390498e-09,7.72188191254648e-09,0.450434718207952
"sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",2.55e+09,2.16e+09,3.08e+09,1.5e+10,1.22e+10,1.71e+10,1.726,6.6557,0,0,0.450093,1.18324130255746e-08,1.12441996530862e-08,0.451791819425582
"sp|Q01995|TAGL_HUMAN",544740.4375,196133.2495,210384.8568,2808253.438,6707542.766,6388856.824,2.8,6.6289,0,0,0.450619,1.36576751200673e-08,1.29824845484615e-08,0.452319071142272
"sp|P01606|KV114_HUMAN",3.23e+08,2.54e+08,2.3e+08,1.44e+09,1.07e+09,1.41e+09,1.582,6.501,0,0,0.453184,2.69744586485427e-08,2.56711038929238e-08,0.454891848387216
"sp|P14207|FOLR2_HUMAN",2346052.998,2137480.885,1693074.322,11900000,7801078.112,12800000,1.653,6.4858,0,0,0.453495,2.92472403354759e-08,2.78367323431936e-08,0.455203356765093
"sp|O15394|NCAM2_HUMAN",0,66448.3618,35405.7765,415722.0328,541216.0389,339221.953,2.389,6.4327,0,0,0.454589,3.87313012241554e-08,3.68761935580912e-08,0.456300078294837
"sp|Q14393|GAS6_HUMAN",207011.9342,520795.6468,317907.2798,3152501.343,3168219.149,2320952.341,2.162,6.3618,0,0,0.456068,5.63986376460883e-08,5.37110511129492e-08,0.457781654131761
"sp|P01591|IGJ_HUMAN",2.23e+08,97100000,1.48e+08,1.05e+09,9.53e+08,1.31e+09,2.016,6.353,0,0,0.456253,5.91558070925149e-08,5.63349484586902e-08,0.457966582471479
"sp|P01609|KV117_HUMAN",3.25e+08,2.55e+08,2.3e+08,1.46e+09,1.08e+09,1.42e+09,1.578,6.3518,0,0,0.456278,5.95327116217199e-08,5.66940343115399e-08,0.457991808325998
"sp|P80419|HV322_HUMAN",16815.5345,4288.688,10818.6632,475385.1077,151588.0048,669526.71,3.72,6.3361,0,0,0.456608,6.46840819493374e-08,6.16019626611631e-08,0.458322235563702
"sp|P04066|FUCO_HUMAN",277444.254,241340.1532,237184.7154,2204751.351,957767.3951,1596579.653,1.796,6.309,0,0,0.457179,7.47596818219947e-08,7.11951318568325e-08,0.458893720186315
"sp|Q12913|PTPRJ_HUMAN",2895613.764,2572817.93,3676951.505,11200000,11700000,11200000,1.328,6.2685,0,0,0.458034,9.28060419881247e-08,8.83725633742433e-08,0.459749387581428
"sp|Q86VB7|C163A_HUMAN",84100000,85500000,1.39e+08,3.81e+08,5.48e+08,5.75e+08,1.615,6.2376,0,0,0.458686,1.09540333431063e-07,1.04291390508411e-07,0.460402588920661
"sp|P05062|ALDOB_HUMAN",958296.2308,1216310.953,1681491.488,5003695.04,6075834.478,6880265.061,1.541,6.2229,0,0,0.458996,1.18445898974143e-07,1.12764310486923e-07,0.460713330647301
"sp|P60900|PSA6_HUMAN",1112339.93,1429982.122,1133410.316,304723.3435,315008.7364,359974.478,-1.337,-6.2176,3.3e-05,0.43058,2.7e-05,3.83266577204739e-05,2.59650664474715e-05,3.36867705155469e-05
"sp|Q99784|NOE1_HUMAN",6332649.831,4868839.479,6324009.472,20100000,25700000,20400000,1.334,6.2072,0,0,0.459327,1.28978373437556e-07,1.22773486454857e-07,0.46104479959724
"sp|Q9BYE9|CDHR2_HUMAN",468044.5019,167732.185,105871.1824,4587697.568,3388521.772,5026039.391,3.032,6.1915,0,0,0.459658,1.40238411401975e-07,1.33480436922691e-07,0.461376157364386
"sp|Q13790|APOF_HUMAN",1.17e+08,1.16e+08,1.38e+08,38300000,36500000,40400000,-1.153,-6.1621,4.2e-05,0.430692,3.1e-05,4.9346388188759e-05,3.34864016382969e-05,3.83077929341494e-05
"sp|O14786|NRP1_HUMAN",9139227.348,9834601.266,8580494.47,25300000,34900000,35700000,1.259,6.0929,0,0,0.461723,2.38033560909085e-07,2.26353330131482e-07,0.463446964907122
"sp|Q03167|TGBR3_HUMAN",2022704.679,1510574.541,1578993.871,6912720.047,11100000,14700000,1.814,5.9826,0,0,0.464004,4.2588705311267e-07,4.04580179421142e-07,0.465739373878286
"sp|P17813|EGLN_HUMAN",1460866.299,1463682.107,1319753.176,4081660.329,4162173.708,4693375.208,1.107,5.9258,0,0,0.46517,5.71012784790103e-07,5.42229470862759e-07,0.466912789835164
"sp|P01781|HV320_HUMAN",23200000,29100000,20600000,1.18e+08,79700000,89600000,1.362,5.8857,1e-06,0,0.465993,6.99909317009342e-07,6.64505803648848e-07,0.467740348651497
"sp|P01598|KV106_HUMAN",7519115.856,4206394.003,2398742.102,6.1e+07,37700000,52300000,2.448,5.856,1e-06,0,0.466602,8.11964389669756e-07,7.70842402967386e-07,0.468353785086825
"sp|P07998|RNAS1_HUMAN",37800000,23100000,4.7e+07,1.47e+08,1.94e+08,1.65e+08,1.589,5.8137,1e-06,0,0.467473,1.00009613897314e-06,9.49449149623531e-07,0.469229108282061
"sp|Q07075|AMPE_HUMAN",94756.3609,82238.9661,101827.6248,547157.596,599844.3354,323344.0208,1.61,5.7996,1e-06,0,0.467764,1.07191721941669e-06,1.01762357758243e-06,0.4695216604453
"sp|Q9Y5Y7|LYVE1_HUMAN",27500000,32200000,33900000,1.17e+08,87900000,1.09e+08,1.209,5.7064,1e-06,0,0.469699,1.67893803501047e-06,1.59426128295843e-06,0.471467397329617
"sp|Q9UHG2|PCSK1_HUMAN",14240.247,1349.5713,2876.1621,224680.4554,145599.5381,182389.6435,3.82,5.6747,2e-06,0,0.470364,1.95057525125341e-06,1.85244242113074e-06,0.472135445686264
"sp|P01700|LV102_HUMAN;sp|P04208|LV106_HUMAN",23700000,19200000,28700000,1.5e+08,1.25e+08,2.59e+08,1.974,5.6746,2e-06,0,0.470366,1.95149636867624e-06,1.85331793687353e-06,0.472137559368213
"sp|O43866|CD5L_HUMAN",1.27e+08,1.31e+08,92200000,5.14e+08,1.15e+09,1.09e+09,2.026,5.6669,2e-06,0,0.470528,2.02369640607655e-06,1.9219446498047e-06,0.47230042007915
"sp|P22692|IBP4_HUMAN",19800000,16700000,36800000,1.07e+08,1.24e+08,1.28e+08,1.636,5.5918,2e-06,0,0.472121,2.87097727357559e-06,2.72772784895176e-06,0.473901295215401
"sp|P11226|MBL2_HUMAN",8820208.513,13800000,9440766.423,3.7e+07,58400000,6.1e+07,1.568,5.5014,4e-06,0,0.474074,4.33003362845482e-06,4.11680341717191e-06,0.475863805947179
"sp|Q14126|DSG2_HUMAN",2826674.309,2682073.634,2264350.422,7093727.981,9910855.065,9147230.648,1.207,5.4711,4e-06,0,0.474738,4.95550756764128e-06,4.71286101089016e-06,0.476531998988213
"sp|Q9NS71|GKN1_HUMAN",372628.706,320154.0749,147923.0556,2142986.283,2732530.841,1671451.703,2.087,5.4297,5e-06,0,0.475655,5.94445902069783e-06,5.65597603750707e-06,0.477455214859858
"sp|Q9UBR2|CATZ_HUMAN",3352514.969,2013745.647,2099540.831,8535618.518,13100000,17300000,1.645,5.417,6e-06,1e-06,0.475939,6.28423382286054e-06,5.98008479867091e-06,0.477741033321954
"sp|P07333|CSF1R_HUMAN",64800000,6.5e+07,81300000,2.1e+08,2.94e+08,2.54e+08,1.263,5.4104,6e-06,1e-06,0.476087,6.46810241294126e-06,6.15549286506452e-06,0.477890024731143
"sp|P01701|LV103_HUMAN;sp|P06888|LV109_HUMAN;sp|P01702|LV104_HUMAN",39400000,22200000,16600000,2.72e+08,1.71e+08,1.32e+08,2,5.3423,8e-06,1e-06,0.477637,8.63327749683811e-06,8.22467086309556e-06,0.479451322545293
"sp|P01743|HV102_HUMAN",23200000,12100000,16100000,1.11e+08,64800000,96900000,1.679,5.261,1.1e-05,1e-06,0.479554,1.19928511695346e-05,1.14451472007298e-05,0.48138420533338
"sp|P15085|CBPA1_HUMAN",332762.9343,89313.161,296642.7692,2042771.148,11300000,9292174.13,3.31,5.252,1.1e-05,1e-06,0.479772,1.24325472779504e-05,1.18670345009932e-05,0.481603856398308
"sp|TRFE_HUMAN|",1.94e+09,5.35e+09,6.01e+09,5.11e+08,4.04e+08,3.08e+08,-2.315,-5.2326,0.002889,0.431838,0.00077,0.00315327042735932,0.00199576232281989,0.000890348357631204
"sp|Q9NZK5|CECR1_HUMAN",1033864.476,364575.9293,646044.6874,4348930.622,7767715.192,3374771.99,2.024,5.164,1.5e-05,2e-06,0.481972,1.7409803866387e-05,1.66570237830219e-05,0.483822034710376
"sp|P83593|KV405_HUMAN;sp|P06312|KV401_HUMAN",2109304.119,2889179.248,2101104.214,25400000,12800000,51600000,2.397,5.1362,1.7e-05,2e-06,0.482698,1.93318311945694e-05,1.85095315792313e-05,0.484553108472363
"sp|P23083|HV103_HUMAN",25800000,27200000,39100000,1.19e+08,92700000,1.63e+08,1.372,5.1271,1.8e-05,2e-06,0.482939,1.99640622380344e-05,1.91210028785608e-05,0.484795869666013
"sp|P22897|MRC1_HUMAN",19200000,23500000,29400000,6.7e+07,76500000,74400000,1.105,5.0641,2.2e-05,2e-06,0.484659,2.50971877060576e-05,2.408168253298e-05,0.486526455924738
"sp|P20774|MIME_HUMAN",10300000,6546802.866,11500000,3.1e+07,34700000,27600000,1.226,4.9985,2.8e-05,3e-06,0.486551,3.17425113308925e-05,3.05141033973548e-05,0.488426959141701
"sp|P01871|IGHM_HUMAN",1.33e+09,1.23e+09,1.4e+09,4.69e+09,7.06e+09,1.15e+10,1.697,4.9616,3.2e-05,3e-06,0.487662,3.6191479328203e-05,3.48249130279713e-05,0.489541863456387
"sp|P04207|KV308_HUMAN",43384.3613,137047.6694,0,1078539.726,763878.4903,1883858.725,2.975,4.9235,3.7e-05,4e-06,0.488845,4.14577900673897e-05,3.9929355207199e-05,0.490727738852896
"sp|P22352|GPX3_HUMAN",1.9e+08,1.92e+08,2e+08,5.08e+08,4.92e+08,6.91e+08,1.045,4.8957,4.1e-05,4e-06,0.48973,4.57617537087525e-05,4.41032418540089e-05,0.49161498228064
"sp|P24592|IBP6_HUMAN",1.4e+07,13100000,25900000,93800000,1.15e+08,81900000,1.711,4.8698,4.5e-05,5e-06,0.490572,5.02363565086698e-05,4.84413115881535e-05,0.49245762558852
"sp|P20023|CR2_HUMAN",265834.6727,118378.5801,263419.3329,1344672.001,1554120.954,909895.8216,1.774,4.8636,4.6e-05,5e-06,0.490776,5.13579325107866e-05,4.95293366267683e-05,0.492661705461602
"sp|Q12866|MERTK_HUMAN",949490.6946,1395656.499,2257268.936,5763553.619,9786094.844,9047173.319,1.688,4.8459,4.9e-05,5e-06,0.491362,5.47870938649789e-05,5.2852848429562e-05,0.493248685009987
"sp|P07478|TRY2_HUMAN;sp|Q8NHM4|TRY6_HUMAN",5225957.832,5374536.339,3085492.129,24600000,1.12e+08,57900000,2.458,4.8159,5.5e-05,6e-06,0.492372,6.11086179563903e-05,5.89814978848145e-05,0.49425920841932
"sp|P27918|PROP_HUMAN",46600000,49200000,92300000,2.33e+08,2.9e+08,2.53e+08,1.448,4.7852,6.1e-05,7e-06,0.493424,6.83830486528124e-05,6.60336149716275e-05,0.495312509212165
"sp|Q13822|ENPP2_HUMAN",21300000,14100000,1.4e+07,47500000,48500000,56200000,1.138,4.7599,6.7e-05,8e-06,0.494305,7.4965193463821e-05,7.24177702781695e-05,0.496194337772966
"sp|P10643|CO7_HUMAN",3.88e+09,3.95e+09,3.37e+09,1.39e+10,1.15e+10,9.01e+09,1.081,4.7531,6.9e-05,8e-06,0.494544,7.69705273496543e-05,7.43581749860271e-05,0.496433346414904
"sp|P05362|ICAM1_HUMAN",18400000,15600000,14600000,48700000,1.35e+08,1.05e+08,1.685,4.745,7.1e-05,8e-06,0.494829,7.92886346815248e-05,7.66060213863451e-05,0.496719055229751
"sp|P41222|PTGDS_HUMAN",3.23e+08,2.41e+08,4.35e+08,1.05e+09,1.28e+09,9.53e+08,1.228,4.7446,7.1e-05,8e-06,0.494844,7.94048151412983e-05,7.67186858422747e-05,0.496733196828013
"sp|P00739|HPTR_HUMAN",39800000,60400000,60200000,12700000,17400000,16800000,-1.222,-4.7445,0.007313,0.433139,0.00277,0.00789974938749472,0.00637136802204426,0.00308094591000035
"sp|P55285|CADH6_HUMAN",162785.0965,526102.3541,268113.3087,2078378.964,5975409.374,2913219.62,2.404,4.7312,7.5e-05,8e-06,0.495318,8.33919029755919e-05,8.05854131438563e-05,0.497208713843266
"sp|P23142|FBLN1_HUMAN",3.18e+08,3.32e+08,2.9e+08,7.74e+08,6.69e+08,7.61e+08,0.85,4.6678,9.5e-05,1.1e-05,0.497605,0.000105600866992883,0.000102111648596568,0.499499282888414
"sp|P20742|PZP_HUMAN",1.31e+08,1.72e+08,3e+08,48700000,51700000,34800000,-1.45,-4.6617,0.008848,0.433477,0.003352,0.00952609581156902,0.00782651890022436,0.00370943651806347
"sp|P08107|HSP71_HUMAN;sp|P17066|HSP76_HUMAN",3580061.212,2247508.098,1770865.24,729998.3317,417342.6317,499051.0883,-1.471,-4.6571,0.008944,0.433497,0.003387,0.00962760941232362,0.00791720483706217,0.00374760342414814
"sp|P54289|CA2D1_HUMAN",172908.9326,130291.1878,257851.0556,836643.6262,1326384.06,604621.3235,1.598,4.6471,0.000103,1.2e-05,0.498365,0.000114102159446596,0.0001103508687919,0.500261062499467
"sp|P01861|IGHG4_HUMAN",1047368.534,1108127.48,914499.2973,4002229.684,2762401.138,6056691.659,1.369,4.5997,0.000123,1.4e-05,0.500127,0.000136017668360473,0.000131598224041147,0.502029825745742
"sp|P00533|EGFR_HUMAN",676676.3588,646668.9191,437029.0448,1771838.984,1774552.729,1644773.625,1.103,4.5862,0.00013,1.4e-05,0.500635,0.00014297251339941,0.000138341952400034,0.502539833164376
"sp|P33151|CADH5_HUMAN",27900000,27700000,22400000,55800000,65100000,76500000,0.917,4.532,0.000159,1.8e-05,0.5027,0.000174265059615851,0.000168697587700832,0.504616277270649
"sp|P07942|LAMB1_HUMAN",6184586.906,6645694.549,12300000,29700000,41300000,35700000,1.477,4.5281,0.000161,1.8e-05,0.502851,0.000176750192059138,0.000171108828939685,0.504767519771986
"sp|P02746|C1QB_HUMAN",5.03e+08,4.3e+08,6.1e+08,1.34e+09,1.56e+09,1.32e+09,0.995,4.4929,0.000183,2e-05,0.504219,0.000200455822614919,0.000194122502218722,0.506145009056198
"sp|P01860|IGHG3_HUMAN",1.05e+09,1.43e+09,9.66e+08,7.23e+09,3.63e+09,4e+09,1.414,4.4676,2e-04,2.2e-05,0.505216,0.000218977644936359,0.000212119276431091,0.507149695804799
"sp|P01877|IGHA2_HUMAN",7.99e+08,3.98e+08,8.1e+08,3.7e+09,2.19e+09,2.97e+09,1.521,4.4367,0.000223,2.5e-05,0.506451,0.000243485562347419,0.000235948978798387,0.508394987420457
"sp|P01033|TIMP1_HUMAN",8.1e+08,7.12e+08,7.95e+08,1.77e+09,1.75e+09,1.63e+09,0.796,4.4343,0.000225,2.5e-05,0.506548,0.00024551075654963,0.000237917891182166,0.508492631664763
"sp|P10645|CMGA_HUMAN",1583374.465,287980.0314,678856.1583,32300000,7800900.951,8836750.718,2.946,4.3672,0.000282,3.2e-05,0.509312,0.000306359949055723,0.000297180251246488,0.51128231742704
"sp|GELS_HUMAN|",28800000,33300000,17300000,1.18e+08,88600000,72100000,1.287,4.3486,0.000299,3.4e-05,0.510101,0.000324749258839256,0.000315126460583088,0.512078108900599
"sp|Q12805|FBLN3_HUMAN",4.14e+08,3.78e+08,4.86e+08,1.12e+09,9.53e+08,1.2e+09,0.944,4.3457,0.000302,3.4e-05,0.510225,0.000327769628160076,0.000318072383884357,0.512203385873781
"sp|O15031|PLXB2_HUMAN",43553.8426,286892.9951,36715.9061,1107086.17,1069712.562,1534379.591,2.711,4.3083,0.000339,3.9e-05,0.51185,0.000368057543027905,0.000357413708275063,0.513843299474342
"sp|B2MG_HUMAN|",9.75e+08,4.87e+08,5.3e+08,2.11e+09,3.59e+09,2.23e+09,1.403,4.2809,0.000369,4.3e-05,0.513073,0.000400601862661773,0.000389203224996261,0.515077154451682
"sp|Q9BWP8|COL11_HUMAN",1015047.804,2981321.794,1840433.001,8661312.143,7566221.474,7929175.622,1.523,4.2125,0.00045,5.5e-05,0.516265,0.000488397638298276,0.000475191363799242,0.518295302148766
"sp|P0DJI8|SAA1_HUMAN",3.93e+08,1.99e+08,1.08e+08,34400000,23100000,14400000,-2.171,-4.2051,0.02548,0.435924,0.009176,0.0270663054305911,0.023742156982042,0.00991902410685769
"sp|P01009|A1AT_HUMAN",9.15e+10,7.37e+10,5.37e+10,2.2e+09,8.64e+09,1.23e+10,-2.465,-4.1845,0.026744,0.436058,0.009586,0.0283804012362567,0.0249422517723829,0.0103541646981188
"sp|P35858|ALS_HUMAN",2.2e+08,2.88e+08,3.46e+08,87800000,1.18e+08,90600000,-1.044,-4.1819,0.026907,0.436075,0.009639,0.0285545763765994,0.0251008225748187,0.0104104358399472
"sp|P35916|VGFR3_HUMAN",140422.0919,557706.1043,177280.0398,1601255.513,1613485.492,2190876.589,2.025,4.1346,0.00056,7.1e-05,0.520177,0.000605423621152778,0.000590072724060425,0.522233966964803
"sp|P28300|LYOX_HUMAN",1096463.077,367245.3079,537244.755,2243424.752,3380231.288,2680747.181,1.503,4.1225,0.000579,7.4e-05,0.520814,0.000625987154627901,0.000610265571754704,0.522874462114878
"sp|P00746|CFAD_HUMAN",1.73e+08,1.39e+08,3.36e+08,9.29e+08,1e+09,6.95e+08,1.459,4.0878,0.000636,8.3e-05,0.522686,0.000687771491961372,0.000670981250788228,0.524756178864745
"sp|O43240|KLK10_HUMAN",198094.8813,1283668.463,251005.2368,2097.6184,0,47384.7502,-4.452,-4.0872,0.033741,0.436711,0.011777,0.035682131897122,0.0315969012236735,0.012671719485811
"sp|Q15848|ADIPO_HUMAN",80500000,88400000,40100000,2.16e+08,2.2e+08,4.36e+08,1.431,4.0847,0.000642,8.4e-05,0.522856,0.000693611641305455,0.000676720160179122,0.52492758804922
"sp|O95445|APOM_HUMAN",3.48e+08,2.36e+08,2.73e+08,1.3e+08,83700000,89400000,-1.042,-4.0549,0.036487,0.436934,0.012606,0.0385339906217267,0.0341948143504632,0.0135463919691814
"sp|P30530|UFO_HUMAN",1264503.395,241689.2988,595439.3292,4955589.882,6397033.275,8292405.094,2.433,4.042,0.000721,9.6e-05,0.525264,0.000778354134527179,0.000760034207202951,0.527345134937141
"sp|Q9Y279|VSIG4_HUMAN",36700000,5e+07,49500000,9.8e+07,1.51e+08,2e+08,1.157,4.0416,0.000722,9.6e-05,0.525287,0.000779076131946279,0.000760747677571547,0.527368282485314
"sp|Q16270|IBP7_HUMAN",38400000,29100000,48300000,89700000,1.34e+08,1.19e+08,1.102,4.0401,0.000724,9.7e-05,0.525374,0.000782239170176742,0.00076385780980664,0.527455169116615
"sp|Q10588|BST1_HUMAN",1741285.076,1540784.081,1353847.251,3561300.919,5871870.769,7514851.586,1.257,4.0285,0.000748,1e-04,0.526048,0.000807127630534785,0.000788331310334098,0.528131568595908
"sp|P01023|A2MG_HUMAN",4.72e+10,4.28e+10,5.09e+10,9.79e+10,1.07e+11,1.02e+11,0.773,4.0112,0.000784,0.000106,0.527068,0.000845687943429048,0.000826253246064913,0.5291551493495
"sp|Q16627|CCL14_HUMAN",2923664.09,4942981.818,7564222.522,17200000,2.7e+07,17700000,1.437,4.0101,0.000786,0.000107,0.527133,0.000848199568853308,0.000828723476224089,0.529220835604778
"sp|Q13332|PTPRS_HUMAN",2398657.949,1643384.848,2575775.3,7379661.42,5815875.234,4388172.709,0.975,3.9918,0.000826,0.000113,0.528233,0.000891310355771433,0.000871120146752158,0.530323892219955
"sp|P41271|NBL1_HUMAN",4504952.99,1633040.006,3870885.165,12400000,18900000,13600000,1.55,3.9896,0.000831,0.000114,0.528367,0.000896615091004372,0.000876337982835279,0.530457846194487
"sp|Q13740|CD166_HUMAN",2083708.757,1738718.864,1352897.268,4535504.282,7626233.224,4659785.149,1.151,3.9828,0.000847,0.000116,0.528781,0.000913205905139712,0.00089265761686563,0.530873729621667
"sp|P43121|MUC18_HUMAN",8205670.183,10700000,9958682.734,18600000,27700000,24500000,0.887,3.9708,0.000875,0.000121,0.52952,0.000943706700471743,0.000922648407496369,0.531614349002852
"sp|P36955|PEDF_HUMAN",1.57e+09,1.46e+09,1.46e+09,2.79e+09,3.52e+09,2.71e+09,0.703,3.9588,0.000905,0.000126,0.530267,0.000974842258855272,0.000953275721090422,0.532363297999483
"sp|P04434|KV310_HUMAN",4879150.376,1470352.431,1503412.996,14900000,9347876.182,16500000,1.816,3.9492,0.000929,0.000129,0.530871,0.00100046157312223,0.000978479052971245,0.532968718600572
"sp|P11047|LAMC1_HUMAN",5658116.059,6041130.096,10100000,20200000,19400000,18800000,1.023,3.9033,0.001054,0.000149,0.533834,0.00113490744743855,0.00111070039740517,0.535938358538898
"sp|P28827|PTPRM_HUMAN",204208.7205,97923.7331,20587.8083,1410765.714,1650192.993,1407591.055,2.982,3.8853,0.001109,0.000158,0.53503,0.00119206596894925,0.00116693060668712,0.537136210836727
"sp|P51884|LUM_HUMAN",2.29e+09,2.21e+09,2.01e+09,4.74e+09,4.53e+09,4.4e+09,0.743,3.8826,0.001117,0.000159,0.535211,0.00120087209129993,0.0011755944201391,0.537317559422617
"sp|P05452|TETN_HUMAN",1.7e+08,2.24e+08,2.47e+08,6.12e+08,5.06e+08,5.44e+08,0.962,3.8525,0.001215,0.000175,0.537256,0.00130538979072803,0.00127838494294833,0.539367284997368
"sp|P01604|KV112_HUMAN",971907.4673,1478286.915,909013.7434,11800000,2916148.495,7656416.644,1.784,3.8487,0.001228,0.000177,0.537518,0.00131906268499869,0.00129183645500505,0.53962975201596
"sp|O95428|PPN_HUMAN",153166.3988,86522.6944,177098.3831,703593.9248,365854.3166,475294.3737,1.328,3.8428,0.001249,0.00018,0.537927,0.00134055949444371,0.00131298599994091,0.540038962151903
"sp|Q92520|FAM3C_HUMAN",3868116.236,2409521.149,4296476.579,1.2e+07,9946763.138,8510863.89,1.1,3.8426,0.00125,0.00018,0.537941,0.00134129395388127,0.00131370861177697,0.540052869900269
