"","Protein","S0","S0.1","S0.2","S0.3","S0.4","S0.5","S0.6","S1","S1.1","S1.2","S1.3","S1.4","S1.5","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"2007","sp|Q08379|GOGA2_HUMAN",56140.2235,74921.8099,61407.2545,62618.8043,140960.6099,110099.6947,9182.5408,259857.8266,296641.9469,482380.1094,320972.0381,287566.8084,265333.557,0.958,3.8129,0.033985,0.005018,0.368009,0.0451534059417187,0.0447156367429296,0.380017611147082
"2008","sp|P04080|CYTB_HUMAN",4686062.8774,4079820.8683,1026795.3408,984761.0295,3301845.7608,2982577.3764,1088527.1335,6997583.9771,6822957.1654,1557581.6684,1202182.8337,2995352.9265,4181518.5454,0.005,0.0144,0.529553,0.532885,0.077776,0.555570785490019,0.552943917756858,0.0863725492108485
"2009","sp|P51159|RB27A_HUMAN",180312.1281,163123.8731,165828.42,200237.8723,190647.23,221386.57,156706.6033,365159.3502,467063.0846,253868.9367,257052.5395,268870.8596,280099.6774,-0.055,-0.3181,0.304609,0.524174,0.043627,0.331646050956508,0.330138015272513,0.0503126242031027
"2010","sp|P49736|MCM2_HUMAN",8442.0935,11528.1561,47349.9094,31428.5524,10110.3883,12700.3077,3584.2658,360085.9754,292956.8748,94561.8705,166451.6533,103433.0208,121047.7267,1.702,4.3456,0.00709,0.000874,0.357447,0.0106879844841561,0.0105501511584061,0.369294304862106
"2011","sp|P55196|AFAD_HUMAN",153934.3073,161133.6036,173132.953,150347.6261,481506.1743,478944.5404,66350.4432,196580.4905,180302.9889,195615.2412,78129.4259,207479.4157,231716.3022,-0.741,-3.2677,2.8e-05,0.374048,2e-06,5.98888286503906e-05,5.91802064080533e-05,4.47118104628538e-06
"2012","sp|Q9NZT1|CALL5_HUMAN",9052.8482,3954.0168,17703.8789,15437.8586,20276.0027,17967.5406,3345.288,11635.7028,19373.1775,22859.0233,22652.1142,296521.0027,298213.918,0.615,1.1118,1,0.418562,0.263017,0.999894047050643,0.995689298424167,0.27203611810212
"2013","sp|O75915|PRAF3_HUMAN",477440.5189,85843.0723,355153.7059,164014.3752,973818.152,1158324.1029,266043.014,101516.4072,133219.5189,72332.9862,84815.787,373442.3357,821513.4761,-1.335,-2.8658,0.000153,0.384257,1.3e-05,0.000291656355501794,0.000289063756316511,2.69630578525511e-05
"2014","sp|Q86W92|LIPB1_HUMAN",37817.2799,33388.3676,60928.3351,61214.675,182753.7381,167911.7929,12789.7875,162284.3559,104353.1285,201458.0582,180625.0751,82763.2698,68483.4234,0.006,0.0183,0.532352,0.532887,0.07826,0.558295930380534,0.555656105243431,0.0868754857071708
"2015","sp|O43592|XPOT_HUMAN",36785.3092,37967.2585,45410.8591,46778.0667,34330.7856,31359.5273,3988.6689,267096.0691,242895.1096,150866.5034,156279.8207,117210.9642,160774.6129,1.07,4.1657,0.012857,0.001634,0.360716,0.0185086030718493,0.0182858695165419,0.372634745146634
"2016","sp|O95671|ASML_HUMAN",31557.7966,30683.0417,14483.8054,9856.6535,113659.8196,81858.7633,16058.1784,50779.1308,48972.227,72261.9382,75186.9963,72563.9147,136443.8572,0.035,0.1183,0.603309,0.532059,0.091318,0.627399697398918,0.624439961903923,0.1003854449696
