,Protein,S0,S0.1,S0.2,S0.3,S0.4,S0.5,S0.6,S1,S1.1,S1.2,S1.3,S1.4,S1.5,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
1721,sp|O94919|ENDD1_HUMAN,368001.6131,378092.8349,274044.2317,362990.8825,354615.2837,240030.9381,287671.5544,110168.7826,133758.4507,197475.8818,189465.2554,178220.2845,188669.5525,-0.948,-7.0708,0,0.29045,0
274,sp|Q01813|PFKAP_HUMAN,271075.5154,259940.7177,276490.9407,400108.2829,320804.376,226647.3628,280708.8561,794245.96,856095.9577,693450.463,843056.1837,640164.8302,600809.219,0.707,7.021,0,0,0.290678
445,sp|P11171|41_HUMAN,1674243.625,943597.5914,753095.5889,747373.7051,877979.1406,2245587.036,1241024.418,177736.8553,198967.3301,406203.4826,417564.5692,210143.2602,173981.7613,-1.703,-7.0208,0,0.290621,0
239,sp|TRY1_BOVIN|,1685319244,1158942037,999801246.1,909764306.1,890946980.4,2000588070,1742804444,568132153,556514158.1,654717950.5,693193942.6,784065103.3,998259467.2,0.729,7.0193,0,0,0.290684
437,sp|P23396|RS3_HUMAN,1296291.838,1469457.978,1248407.853,1876524.923,1983025.037,677765.6378,1147838.713,3855681.733,3747964.801,3371765.423,3547161.632,3328334.428,3442138.892,0.824,7.0124,0,0,0.290709
28,sp|P16157|ANK1_HUMAN,25194443.85,14277218.02,12482348.1,9173650.291,8085910.298,48562595.33,24070404.2,1549755.239,1606025.44,1791791.827,1879506.454,2248546.154,2290325.474,-2.199,-6.9917,0,0.290723,0
311,sp|P54886|P5CS_HUMAN,200390.6391,274224.3667,289517.3952,348206.0961,321611.4206,243589.8371,224342.7149,1034553.436,963048.0275,882225.4656,1116817.507,658519.8164,619393.8958,0.948,6.9829,0,0,0.290821
101,sp|P04406|G3P_HUMAN,44147284.72,32137105.33,32436626.23,47369764.47,51737949.89,40590647.35,36856231.15,96318040.69,92501397.75,77991270.57,81611084.59,125853644.1,129113286,0.901,6.9809,0,0,0.290828
17,sp|P02549|SPTA1_HUMAN,17413541.74,11111077.43,10521314.71,6787835.338,6321464.631,38373742.94,19468009.95,1210975.259,1090805.58,1392015.868,1440311.097,1881625.653,1876899.564,-2.174,-6.9685,0,0.290805,0
1445,sp|P26196|DDX6_HUMAN,16498.9546,11092.6207,26292.5504,57857.6889,26634.4411,24028.7391,19003.3946,176278.3664,217337.5872,127253.0203,165474.9555,140887.3478,150628.8932,1.487,6.9622,0,0,0.290901
49,sp|P08238|HS90B_HUMAN,13105388.26,10421928.58,9970561.342,16169046.97,16159140.89,8863732.182,12995684.01,29515048.69,28665702.14,21043123.74,23493363.04,22950982.15,21166057.42,0.775,6.954,0,0,0.290933
122,sp|P02647|APOA1_HUMAN,141265842.3,101047057.9,98816980.34,113758495.9,112757715.9,113726198.8,127459057,31360151.65,30585001.7,53129950.08,55609704.29,48324580.04,46268688.04,-0.939,-6.9524,0,0.290862,0
867,sp|Q8IWL1|SFPA2_HUMAN,3777662.65,5600913.883,5955304.582,6934013.218,6170609.782,4505436.863,3085326.574,1190747.517,1273429.481,1936541.927,1836773.387,622910.2257,667679.3025,-1.444,-6.9451,0,0.290888,0
327,sp|P61247|RS3A_HUMAN,1889639.035,1370332.048,1202177.252,1404041.535,1854683.868,1005998.201,1701616.421,4711613.237,4985994.361,4318883.127,4560442.779,3384877.452,3684672.783,0.957,6.941,0,0,0.290984
970,sp|Q9UDY2|ZO2_HUMAN,100199.0487,201203.2266,224132.2419,321500.9681,311375.8147,152130.2826,109873.4378,62575.839,35174.7302,78270.2146,66602.9508,81864.73,76175.0887,-1.407,-6.9383,0,0.290912,0
63,sp|P52272|HNRPM_HUMAN,2421948.175,2910474.48,2920933.912,3732066.624,3491077.319,1766852.353,2554807.395,6099117.89,6659097.115,4861613.388,5220772.336,7534531.182,8378539.975,0.802,6.9382,0,0,0.290995
1558,sp|Q08174|PCDH1_HUMAN,30302.9214,121952.4365,113465.0269,129293.0643,129810.7242,111075.8151,17710.3557,9761.3251,7441.8779,21448.5415,21974.1234,14922.2184,18040.2264,-2.282,-6.9151,0,0.290996,0
2035,sp|Q96RQ9|OXLA_HUMAN,5363.4048,3827.5936,6095.1872,27541.2472,25608.1818,13163.1183,7435.3399,124743.5133,149149.618,192871.4329,97871.4508,157750.498,127657.192,2.119,6.908,0,0,0.291117
2330,sp|Q9UH62|ARMX3_HUMAN,3796.7808,0,1079.4003,4858.4627,2441.893,1791.1078,3752.1627,29503.3616,28092.4191,28935.8993,26019.851,47844.9718,38562.9787,1.987,6.8968,0,0,0.291162
