"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"sp|Q6UY14|ATL4_HUMAN",1578108.1410458,400158.01032423,1390889.68215923,3670892.77620227,7440388.91762153,6053190.2171401,"0.0476399212995183","0.000492495718422974"
"sp|Q96KN2|CNDP1_HUMAN",7404343.1133455,10016515.9471392,10350037.4978864,2638495.74142815,7410746.83504978,6884950.92432114,"-5.01310916975423","-0.0481298971293286"
"sp|ALDOA_RABIT|",54145212.1412764,52845756.5486999,34839495.7084202,14320273.821986,117197442.502715,96358789.9426053,"1.53803921636342","0.0155032115985313"
"sp|P0CG05|LAC2_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",4155099613.03934,2944510291.3573,4987439713.02087,22851500779.7649,20300271290.6488,28853805256.5567,"3.59178524450529","0.0343772387705849"
"sp|P01861|IGHG4_HUMAN",1038644.53229904,956860.049558895,948234.950703472,4064753.54420997,2890592.39768025,6520843.34432079,"4.03010013928571","0.0417181552216146"
"sp|Q96IY4|CBPB2_HUMAN",80126980.6046728,84794988.4490577,91868432.1358938,62156082.1209605,88735206.466341,72780493.8560908,"-2.35927580149447","-0.0239042963250826"
"sp|P80188|NGAL_HUMAN",205275804.271872,52586708.7224808,258185548.553471,62663893.2493998,240673319.425217,180874600.115728,"4.28113334498874","0.0424323143448461"
"sp|O14786|NRP1_HUMAN",9063102.62939222,8492106.93229693,8897026.79356216,25695243.0990245,36519560.2084352,38435852.5245923,"6.97512341699436","0.0701606566153525"
"sp|P11597|CETP_HUMAN",4062534.94864542,7295374.66083224,2300368.3055013,1455836.5233606,2529748.12840129,2498277.02702233,"-3.13487974177365","-0.0323803744195969"
"sp|O14791|APOL1_HUMAN",83498660.4816021,54486392.781421,30069802.843577,51796735.1008004,66446764.2760926,32406699.1874014,"0.818084028013577","0.00839445648441278"
"sp|P08294|SODE_HUMAN;sp|Q8IY17|PLPL6_HUMAN",25585100.2425812,37130188.4247401,28825535.1397048,85210707.3521011,102861683.910865,81608896.9569775,"-5.33381023522002","-0.0529119014328431"
"sp|P48740|MASP1_HUMAN",22312587.4208557,11829850.730673,21567306.8671173,23765560.8109555,14649680.3128393,37466881.4525438,"4.24471807458668","0.0430346863804679"
"sp|Q14767|LTBP2_HUMAN",6580444.35118838,6258456.99275899,6877635.92168579,6564690.14807936,15905367.196797,13027277.7464304,"-4.60599601057088","-0.0458785517460041"
"sp|P14618|KPYM_HUMAN;sp|P30613|KPYR_HUMAN",6711827.18385546,6959046.83914555,26544377.6826059,3254021.4711256,6947650.63503955,12919614.2939806,"-5.81857645286109","-0.0591415199399403"
"sp|P22692|IBP4_HUMAN",19635076.930353,14420328.9928642,38157542.9187459,108671581.485993,129754311.342291,137809219.135793,"-0.655252924736977","-0.00639750598528999"
"sp|P08195|4F2_HUMAN",10313373.7411955,2256991.47068769,2918004.46045571,7148581.41790667,9266361.41871709,6808752.48082887,"-3.30209864735532","-0.0333109229795825"
"sp|O00468|AGRIN_HUMAN",4453908.56799135,2255926.05792452,3378821.96075745,2075765.13093182,6018991.82321287,3116652.23498106,"2.21238577045026","0.0220429596212201"
"sp|P10586|PTPRF_HUMAN;sp|P23468|PTPRD_HUMAN",3214737.38929433,1521288.77168656,4201421.05991254,4423695.98402952,3566448.05523764,4582830.71296138,"-3.20491916749066","-0.0317023961594001"
"sp|P55268|LAMB2_HUMAN",1113501.23413806,1443524.04074562,1988577.19810249,2938753.17201726,299272040.676575,4154895.28798322,"1.89880587218116","0.0196375933992327"
"sp|Q9UM47|NOTC3_HUMAN",2334183.75862975,2611975.53170091,2041071.78245863,4807328.62036578,3464631.59881054,2978214.30865488,"0.413769827325193","0.00396840308386724"
"sp|P20851|C4BPB_HUMAN",78738641.8318195,55954330.4633293,84402825.9126609,80437282.7447724,49494991.3426643,54585370.3920681,"0.963738358892436","0.00983147894627542"
"sp|CAH1_HUMAN|",14280055.9493476,5294329.81754065,89068829.8021815,70484184.6273637,14021836.8708605,20779046.3228188,"-1.06694631246249","-0.0106782264586148"
"sp|Q6UXB8|PI16_HUMAN",27965109.5674724,27977165.2316647,66879389.0831281,54945164.0971236,56087347.483442,54154716.5822687,"2.63922456339173","0.0262310723421529"
"sp|Q9HDC9|APMAP_HUMAN",10115039.6307879,4837907.28027898,5634491.1673426,3992715.47885765,3716403.71590426,4809544.39097694,"0.186169709155019","0.00178889829683788"
"sp|P12830|CADH1_HUMAN",13288385.3973096,10707310.1503902,18041881.7061462,26304616.4531516,24381253.6635112,26377545.8502104,"1.20878095932985","0.0116436717013836"
"sp|P00488|F13A_HUMAN",8540046.66014736,19860333.3434657,18145570.6814689,20921818.4916959,17579616.3754072,18518113.8213722,"1.03121510193684","0.0112121556606908"
"sp|Q6YHK3|CD109_HUMAN",3728988.75005934,1211478.30992439,4850225.16379971,4785574.61826238,4200911.31104377,5172109.80076103,"-1.51703266538852","-0.0162507080209779"
"sp|P20774|MIME_HUMAN",10214206.6859917,5653116.83707462,11924232.1621081,31484289.9632316,36310279.0611089,29715112.8761554,"0.142762934184562","0.00147220945338915"
"sp|Q6UWP8|SBSN_HUMAN",100626.869325864,314449.794615302,1270498.91492704,1646809.73489965,2423390.03772873,1911951.22739434,"-1.91963298743004","-0.0195488813797205"
"sp|P43121|MUC18_HUMAN",8137321.48021761,9239372.46848185,10326056.0825212,18890573.977939,28985438.9046892,26377545.8502104,"3.63760197052158","0.0360762809956907"
"sp|P27918|PROP_HUMAN",46211847.7249722,42483843.4999352,95704924.2228329,236639985.852677,303457663.6231,272388534.698091,"3.72270609294689","0.0383681223071743"
"sp|Q86UD1|OAF_HUMAN",9872451.00422416,17787950.7337127,15449657.3230792,21632754.0715108,26369424.5631108,19702411.7983204,"-0.118652518919236","-0.00121001166150754"
"sp|Q16853|AOC3_HUMAN",3651253.73039306,1524914.52940528,3878820.46600886,18281200.6238119,19149224.9803543,7318110.00990391,"-1.24200588248775","-0.0134607313732348"
"sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",2528759907.69698,1865144348.77764,3193620439.93852,15234333853.1766,12766149986.9028,18410450368.9224,"1.19222442627744","0.0120179973284165"
"sp|P02655|APOC2_HUMAN",536493768.652574,226235101.564696,135832557.67271,348358434.109305,148589614.601656,258392285.879612,"2.45102835580759","0.0259140372300138"
"sp|P02743|SAMP_HUMAN",462118477.249722,387708246.574612,369132752.148738,264061786.788394,261601434.157845,264852093.026602,"-4.6462292472667","-0.0462150058818548"
