"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"117","QM","MedI-G",7e-04,0,0,0,0,0
"118","QM","MedI-G",8e-04,0,0,0,0,0
"119","QM","MedI-G",9e-04,0,0,0,0,0
"120","QM","MedI-G",0.001,0,0,0,0,0
"121","QM","MedI-G",0.002,0,0,0,0,1
"122","QM","MedI-G",0.003,0,0,0,0,1
"123","QM","MedI-G",0.004,0,0,0,0,1
"124","QM","MedI-G",0.005,0,0,0,0,1
"130","QM","MedI-G",0.02,0,0,0,0,3
"131","QM","MedI-G",0.03,0,0,0,0,4
"132","QM","MedI-G",0.04,0,0,0,0,6
"133","QM","MedI-G",0.05,0,0,0,0,6
"134","QM","MedI-G",0.06,0,0,0,0,7
"135","QM","MedI-G",0.07,0,0,0,0,8
"136","QM","MedI-G",0.08,0,0,0,0,11
"137","QM","MedI-G",0.09,0,0,0,0,12
"138","QM","MedI-G",0.1,0,0,0,0,13
"139","QM","TI-G",1e-06,0,0,0,0,0
"140","QM","TI-G",2e-06,0,0,0,0,0
"141","QM","TI-G",3e-06,0,0,0,0,0
"142","QM","TI-G",4e-06,0,0,0,0,0
"143","QM","TI-G",5e-06,0,0,0,0,0
"144","QM","TI-G",6e-06,0,0,0,0,0
"145","QM","TI-G",7e-06,0,0,0,0,0
"146","QM","TI-G",8e-06,0,0,0,0,0
"147","QM","TI-G",9e-06,0,0,0,0,0
"148","QM","TI-G",1e-05,0,0,0,0,0
"149","QM","TI-G",2e-05,0,0,0,0,0
"150","QM","TI-G",3e-05,0,0,0,0,0
"151","QM","TI-G",4e-05,0,0,0,0,0
"152","QM","TI-G",5e-05,0,0,0,0,0
"153","QM","TI-G",6e-05,0,0,0,0,0
"154","QM","TI-G",7e-05,0,0,0,0,0
"155","QM","TI-G",8e-05,0,0,0,0,0
"156","QM","TI-G",9e-05,0,0,0,0,0
"157","QM","TI-G",1e-04,0,0,0,0,0
"158","QM","TI-G",2e-04,0,0,0,0,0
"159","QM","TI-G",3e-04,0,0,0,0,0
"160","QM","TI-G",4e-04,0,0,0,0,0
"161","QM","TI-G",5e-04,0,0,0,0,0
"162","QM","TI-G",6e-04,0,0,0,0,0
"163","QM","TI-G",7e-04,0,0,0,0,0
"164","QM","TI-G",8e-04,0,0,0,0,0
"165","QM","TI-G",9e-04,0,0,0,0,0
"166","QM","TI-G",0.001,0,0,0,0,0
"167","QM","TI-G",0.002,0,0,0,0,0
"168","QM","TI-G",0.003,0,0,0,0,1
"169","QM","TI-G",0.004,0,0,0,0,1
"170","QM","TI-G",0.005,0,0,0,0,1
"171","QM","TI-G",0.006,0,0,0,0,1
"172","QM","TI-G",0.007,0,0,0,0,2
"173","QM","TI-G",0.008,0,0,0,0,2
"174","QM","TI-G",0.009,0,0,0,0,2
"175","QM","TI-G",0.01,0,0,0,0,2
"176","QM","TI-G",0.02,0,0,0,0,3
"177","QM","TI-G",0.03,0,0,0,0,4
"178","QM","TI-G",0.04,0,0,0,0,5
"179","QM","TI-G",0.05,0,0,0,0,5
"180","QM","TI-G",0.06,0,0,0,0,6
"181","QM","TI-G",0.07,0,0,0,0,9
"182","QM","TI-G",0.08,0,0,0,0,9
"183","QM","TI-G",0.09,0,0,0,0,13
"184","QM","TI-G",0.1,0,0,0,0,15
"185","QM","RLR-G",1e-06,0,0,0,0,91
"186","QM","RLR-G",2e-06,0,0,0,0,97
"187","QM","RLR-G",3e-06,0,0,0,0,101
"191","QM","RLR-G",7e-06,0,0,0,0,108
"192","QM","RLR-G",8e-06,0,0,0,0,109
"193","QM","RLR-G",9e-06,0,0,0,0,110
"194","QM","RLR-G",1e-05,0,0,0,0,110
"195","QM","RLR-G",2e-05,0,0,0,0,117
"196","QM","RLR-G",3e-05,0,0,0,0,121
"197","QM","RLR-G",4e-05,0,0,0,0,125
"198","QM","RLR-G",5e-05,0,0,0,0,128
"199","QM","RLR-G",6e-05,0,0,0,0,130
"200","QM","RLR-G",7e-05,0,0,0,0,133
"201","QM","RLR-G",8e-05,0,0,0,0,134
"202","QM","RLR-G",9e-05,0,0,0,0,134
"203","QM","RLR-G",1e-04,0,0,0,0,136
"204","QM","RLR-G",2e-04,0,0,0,0,144
"205","QM","RLR-G",3e-04,0,0,0,0,151
"206","QM","RLR-G",4e-04,0,0,0,0,158
"207","QM","RLR-G",5e-04,0,0,0,0,162
"208","QM","RLR-G",6e-04,0,0,0,0,165
"209","QM","RLR-G",7e-04,0,0,0,0,166
"210","QM","RLR-G",8e-04,0,0,0,0,168
"211","QM","RLR-G",9e-04,0,0,0,0,169
"212","QM","RLR-G",0.001,0,0,0,0,171
"213","QM","RLR-G",0.002,0,0,0,0,181
"214","QM","RLR-G",0.003,0,0,0,0,196
"215","QM","RLR-G",0.004,0,0,0,0,202
"216","QM","RLR-G",0.005,0,0,0,0,208
"217","QM","RLR-G",0.006,0,0,0,0,212
"218","QM","RLR-G",0.007,0,0,0,0,217
"219","QM","RLR-G",0.008,0,0,0,0,221
"220","QM","RLR-G",0.009,0,0,0,0,224
"221","QM","RLR-G",0.01,0,0,0,0,226
"222","QM","RLR-G",0.02,0,0,0,0,248
"223","QM","RLR-G",0.03,0,0,0,0,261
"224","QM","RLR-G",0.04,0,0,0,0,269
"225","QM","RLR-G",0.05,0,0,0,0,278
"226","QM","RLR-G",0.06,0,0,0,0,284
"227","QM","RLR-G",0.07,0,0,0,0,286
"228","QM","RLR-G",0.08,0,0,0,0,295
"229","QM","RLR-G",0.09,0,0,0,0,301
"230","QM","RLR-G",0.1,0,0,0,0,305
"231","QM","Loess-G",1e-06,0,0,0,0,53
"232","QM","Loess-G",2e-06,0,0,0,0,57
"233","QM","Loess-G",3e-06,0,0,0,0,58
"234","QM","Loess-G",4e-06,0,0,0,0,58
"235","QM","Loess-G",5e-06,0,0,0,0,63
"236","QM","Loess-G",6e-06,0,0,0,0,63
"237","QM","Loess-G",7e-06,0,0,0,0,63
"238","QM","Loess-G",8e-06,0,0,0,0,64
"239","QM","Loess-G",9e-06,0,0,0,0,64
"240","QM","Loess-G",1e-05,0,0,0,0,68
"241","QM","Loess-G",2e-05,0,0,0,0,75
"242","QM","Loess-G",3e-05,0,0,0,0,79
"243","QM","Loess-G",4e-05,0,0,0,0,79
"244","QM","Loess-G",5e-05,0,0,0,0,82
"245","QM","Loess-G",6e-05,0,0,0,0,86
"246","QM","Loess-G",7e-05,0,0,0,0,88
"247","QM","Loess-G",8e-05,0,0,0,0,89
"248","QM","Loess-G",9e-05,0,0,0,0,93
"249","QM","Loess-G",1e-04,0,0,0,0,95
"267","QM","Loess-G",0.01,0,0,0,0,167
"268","QM","Loess-G",0.02,0,0,0,0,186
"275","QM","Loess-G",0.09,0,0,0,0,253
"276","QM","Loess-G",0.1,0,0,0,0,255
"323","QM","Quantile",1e-06,0,0,0,0,75
"324","QM","Quantile",2e-06,0,0,0,0,86
"325","QM","Quantile",3e-06,0,0,0,0,90
"326","QM","Quantile",4e-06,0,0,0,0,93
"327","QM","Quantile",5e-06,0,0,0,0,98
"328","QM","Quantile",6e-06,0,0,0,0,98
"329","QM","Quantile",7e-06,0,0,0,0,98
"330","QM","Quantile",8e-06,0,0,0,0,100
"331","QM","Quantile",9e-06,0,0,0,0,100
"332","QM","Quantile",1e-05,0,0,0,0,100
"333","QM","Quantile",2e-05,0,0,0,0,103
"334","QM","Quantile",3e-05,0,0,0,0,105
"335","QM","Quantile",4e-05,0,0,0,0,111
"336","QM","Quantile",5e-05,0,0,0,0,112
"337","QM","Quantile",6e-05,0,0,0,0,113
"338","QM","Quantile",7e-05,0,0,0,0,116
"339","QM","Quantile",8e-05,0,0,0,0,117
"340","QM","Quantile",9e-05,0,0,0,0,118
