"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"92","1::Q9JJH1","5.953735e+06","6.996465e+06","8.824019e+06","7.100066e+06","3.296964e+06","5.526953e+06","7.266193e+06","0.245037046263603","0.783731486866116"
"93","1::P29788;1::Q8BP99","4.938064e+06","5.691644e+06","8.367069e+06","5.282085e+06","2.983171e+06","5.403197e+06","5.402546e+06","0.249446976003473","0.783731486866116"
"94","1::P17897","7.697478e+05","8.004978e+05","1.044269e+06","9.149598e+05","8.096142e+05","3.254297e+06","1.942013e+06","0.253242011838635","0.783731486866116"
"95","1::P31240","1.377787e+05","2.012962e+05","1.907482e+05","1.342357e+05","1.721512e+05","4.659516e+05","2.683848e+05","0.253515441114019","0.783731486866116"
"96","1::Q60847","1.278538e+05","1.202956e+05","1.279758e+05","1.602273e+05","1.946934e+05","1.285737e+05","1.695763e+05","0.254301993798508","0.783731486866116"
"97","1::Q9R098","2.445391e+03","1.023247e+04","1.151933e+04","1.951143e+04","6.391600e+04","2.218607e+04","1.664337e+04","0.255349979421513","0.783731486866116"
"98","1::E9PV24","1.107902e+09","8.255698e+08","8.198924e+08","9.922346e+08","1.013266e+09","3.992783e+08","5.286857e+08","0.257341281563921","0.783731486866116"
"99","1::Q4ZJN1","3.292823e+04","4.660614e+04","3.677039e+04","5.203337e+04","2.938950e+04","1.114943e+05","1.464658e+05","0.260715491051014","0.783731486866116"
"100","1::Q8CG19","4.112977e+04","7.371945e+04","6.623240e+04","3.465967e+04","3.673427e+04","1.400832e+05","1.571468e+05","0.263520980992337","0.783731486866116"
"101","1::Q8K182","1.343328e+06","1.973318e+06","1.972005e+06","2.459031e+06","1.204738e+07","3.439520e+06","3.480855e+06","0.264738729677183","0.783731486866116"
"102","1::Q8K0E8;1::Q9JJ59","6.244796e+08","4.421328e+08","4.307801e+08","6.236840e+08","5.805106e+08","2.175827e+08","3.060704e+08","0.276000548834443","0.809060432367631"
"103","1::Q03401;1::Q03402","9.961800e+04","1.240306e+05","1.702386e+05","1.194775e+05","1.218845e+05","2.744291e+05","1.811671e+05","0.28254715597059","0.814556425054578"
"104","1::Q00724","1.428986e+04","5.630855e+04","9.261808e+04","9.114095e+04","6.253601e+04","2.579628e+05","1.195453e+05","0.285833152918271","0.814556425054578"
"105","1::P26043","2.438727e+05","3.653464e+05","3.381481e+05","2.234929e+05","2.320788e+05","6.031159e+05","5.217258e+05","0.289637216021645","0.814556425054578"
"106","1::P59999","2.708839e+05","2.833436e+05","2.001602e+05","3.073797e+05","2.020875e+05","2.796113e+05","1.635844e+05","0.293075767808856","0.814556425054578"
"107","1::O08842","3.065097e+04","5.354431e+04","5.935647e+04","3.781782e+04","4.117937e+04","1.328153e+05","7.479813e+04","0.293272936998376","0.814556425054578"
"108","1::P70389","6.553032e+03","2.144620e+04","2.171725e+04","1.733614e+04","3.482755e+04","1.234403e+04","3.438378e+04","0.296878284006183","0.814556425054578"
"109","1::O70251","3.232586e+04","1.103575e+05","9.610084e+04","5.721415e+04","5.858381e+03","4.285113e+04","7.695016e+04","0.296945318832605","0.814556425054578"
"110","1::P02088","1.252800e+05","1.870257e+05","2.584674e+05","2.481544e+05","1.879120e+05","4.643223e+05","2.905120e+05","0.306756663320347","0.830566381086687"
"111","1::P39876","1.379111e+06","1.789715e+06","2.644737e+06","1.185740e+06","9.438662e+05","5.202047e+06","4.337539e+06","0.309988111193727","0.830566381086687"
"112","1::Q8VCG4","1.853185e+06","2.325155e+06","2.315806e+06","2.193924e+06","1.020275e+07","2.926736e+06","2.849586e+06","0.324968520009857","0.830566381086687"
"113","1::Q07235","3.984201e+04","1.026344e+05","1.465315e+05","5.462387e+04","4.404234e+04","4.053538e+05","2.115421e+05","0.325803550610102","0.830566381086687"
"114","1::O70165","2.720345e+04","1.733549e+04","2.367200e+04","2.602531e+04","3.519897e+03","8.158100e+04","9.651404e+04","0.328037578039931","0.830566381086687"
"115","1::Q9JKR6","2.479826e+05","2.894372e+05","3.058026e+05","2.421122e+05","1.380856e+05","2.436610e+05","2.737205e+05","0.328161349393826","0.830566381086687"
"116","1::Q9CVB6","2.808886e+05","2.566713e+05","1.920160e+05","2.684217e+05","1.793232e+05","2.743807e+05","1.418790e+05","0.331488198869268","0.830566381086687"
"117","1::Q9Z126","3.322872e+07","3.815286e+07","2.798002e+07","3.103792e+07","2.026547e+07","1.205029e+08","6.712140e+07","0.332469896005993","0.830566381086687"
"118","1::P12399","2.041396e+04","4.476562e+04","4.838492e+04","2.983514e+04","1.852682e+04","8.219915e+04","9.870408e+04","0.336243520314116","0.830566381086687"
"119","1::P06728","6.903321e+04","2.347400e+05","5.561909e+04","1.732839e+05","2.648053e+04","9.463730e+04","1.160056e+05","0.336743303174291","0.830566381086687"
"120","1::P29351","1.856782e+04","2.185748e+04","8.954048e+03","2.308617e+04","2.814250e+04","1.463750e+04","3.268475e+04","0.33684989846","0.830566381086687"
"121","1::O55226","2.483118e+03","4.998413e+03","6.270798e+03","5.995401e+03","3.692570e+03","1.146501e+04","8.065655e+03","0.340280612166548","0.830566381086687"
"122","1::P26041","4.247634e+05","5.805532e+05","3.118124e+05","3.692098e+05","5.361899e+05","4.053478e+05","1.037560e+06","0.34184702112523","0.830566381086687"
"123","1::O35451","1.172019e+05","2.257993e+05","1.656663e+05","1.715320e+05","1.885044e+05","2.193304e+05","1.821948e+05","0.342412514026646","0.830566381086687"
"124","1::Q9JM76","1.076622e+05","1.072569e+05","8.530412e+04","1.277898e+05","8.047155e+04","1.158299e+05","7.426364e+04","0.34582185466492","0.830566381086687"
"125","1::Q9Z0N1","6.585869e+03","1.717399e+03","6.365021e+02","3.894895e+03","2.498683e+03","5.382638e+03","9.628386e+03","0.351265323902619","0.830566381086687"
"126","1::Q60817","1.037822e+05","2.200883e+05","1.858481e+05","1.093381e+05","1.578691e+05","5.628754e+05","2.028821e+05","0.354405400012686","0.830566381086687"
"127","1::Q8R429","2.492075e+04","8.092315e+04","7.638102e+04","6.738185e+04","1.104223e+03","3.151750e+04","7.491759e+04","0.356995041516235","0.830566381086687"
"128","1::P01942","8.396700e+01","1.107381e+05","8.185311e+04","5.786672e+01","7.243870e-06","1.741980e+05","1.915618e+05","0.357489908514393","0.830566381086687"
"129","1::P55065","1.009554e+05","1.041393e+05","8.228932e+04","1.503346e+05","3.023325e+05","7.726507e+04","1.793798e+05","0.358570197229927","0.830566381086687"
"130","1::Q9ESB3","3.062385e+08","5.491361e+08","5.864134e+08","3.823309e+08","6.766381e+08","4.393980e+08","5.424054e+08","0.361115817863777","0.830566381086687"
"131","1::Q99MQ4","6.730591e+04","7.165572e+04","1.066960e+05","1.862875e+04","4.919981e+03","6.410566e+04","5.332474e+04","0.371707640850675","0.844676666835736"
"132","1::P41317","6.299000e+05","2.969757e+05","3.149306e+05","1.362943e+06","5.270982e+05","1.183438e+06","1.226241e+06","0.3754508365726","0.844676666835736"
"133","1::Q9DCD0","7.776815e+04","5.940353e+04","5.182247e+04","6.796826e+04","2.624714e+05","5.305589e+04","9.391351e+04","0.376678987764587","0.844676666835736"
"134","1::Q8R0Z6;1::Q9R045","2.188573e+05","3.693813e+05","3.940440e+05","1.922714e+05","8.775741e+04","7.537099e+05","8.393888e+05","0.378550747009995","0.844676666835736"
"135","1::P97298","2.636929e+04","6.006395e+04","7.925941e+04","3.663796e+04","1.706860e+06","9.238500e+04","1.015687e+05","0.390786969096032","0.86083084778601"
"136","1::P35441;1::Q03350;1::Q05895","3.767546e+07","4.668086e+07","5.344764e+07","3.681023e+07","2.727743e+07","1.259719e+08","6.947640e+07","0.39679028272473","0.86083084778601"
"137","1::B5X0G2","7.847097e+04","1.725865e+05","1.825146e+05","1.020028e+05","9.424770e+04","6.573167e+04","1.454227e+05","0.398245417587143","0.86083084778601"
"138","1::Q3THE2","1.517727e+05","2.474539e+05","2.158690e+05","1.131727e+05","3.655566e+04","2.037313e+05","1.416299e+05","0.401754533785945","0.86083084778601"
"139","1::P22599","1.342314e+06","1.188980e+06","1.076561e+06","1.157018e+06","6.876065e+05","3.142876e+06","1.984603e+06","0.40260799639359","0.86083084778601"
"140","1::Q61147","1.432216e+05","1.703532e+05","2.284694e+05","1.808272e+05","1.640290e+05","1.680511e+05","1.579921e+05","0.403094513898349","0.86083084778601"
"141","1::P11152","3.859734e+04","6.731820e+04","4.889013e+04","3.963161e+04","2.409662e+04","8.773331e+04","1.325924e+05","0.406775480916019","0.86083084778601"
"142","1::Q62446","4.481376e+04","1.004564e+05","6.514632e+04","4.340490e+04","3.633489e+04","4.386981e+04","6.680028e+04","0.412712123571138","0.86083084778601"
"143","1::P62751","1.326341e+05","1.998141e+05","2.093490e+05","1.128379e+05","1.064480e+05","3.287619e+05","2.583776e+05","0.416427155838343","0.86083084778601"
"144","1::Q3SXB8","9.586951e+05","1.516586e+06","1.457254e+06","1.192950e+06","7.351063e+05","2.461355e+06","2.353177e+06","0.416830179433009","0.86083084778601"
"145","1::P61161","3.749179e+05","4.537844e+05","3.768910e+05","3.933939e+05","3.182354e+05","4.418213e+05","3.042103e+05","0.419573879258202","0.86083084778601"
"146","1::P97333","6.888918e+05","9.456681e+05","1.036825e+06","7.842234e+05","8.249363e+05","9.075337e+05","1.994629e+06","0.421998215657338","0.86083084778601"
"147","1::P04186","1.876838e+06","9.681770e+05","1.001306e+06","2.277555e+06","4.215712e+07","1.346132e+06","1.619971e+06","0.42402657935893","0.86083084778601"
"148","1::E9Q414;1::Q9EST8","4.316113e+06","6.088686e+06","3.545802e+06","3.180076e+06","1.655198e+06","9.677312e+05","5.759627e+06","0.433854715463597","0.86083084778601"
"149","1::Q8VDD5;1::Q61879","7.751828e+05","1.053819e+06","8.038995e+05","6.264761e+05","1.859340e+05","7.318849e+05","8.997012e+05","0.442809181908172","0.86083084778601"
"150","1::Q8BGZ7","2.631754e+04","1.215495e+03","1.748758e+04","2.638466e+03","1.964237e+03","1.912885e+04","1.061232e+05","0.445148911775404","0.86083084778601"
"151","1::Q9WVE8","2.054929e+04","5.791510e+04","3.990779e+04","2.390335e+04","5.752242e+03","1.478885e+05","6.872370e+04","0.448820469492323","0.86083084778601"
"152","1::P52480","4.061626e+04","3.874544e+04","5.036926e+04","7.110178e+04","4.691712e+04","5.966241e+04","6.701280e+04","0.455070999647609","0.86083084778601"
"153","1::Q61035","4.355617e+04","5.256713e+04","4.855549e+04","3.303552e+04","3.039287e+04","9.473210e+04","5.956730e+04","0.456005922202205","0.86083084778601"
"154","1::Q91WP0","6.947110e+04","2.815473e+04","1.475095e+04","1.853521e+05","1.089885e+05","1.003350e+05","1.130606e+05","0.457642636688115","0.86083084778601"
"155","1::Q99PP7","1.181095e+06","1.055690e+06","1.009673e+06","1.216143e+06","1.316454e+06","5.103068e+05","8.809702e+05","0.458525206406692","0.86083084778601"
"156","1::P97855","3.651970e+04","6.418172e+04","6.719935e+04","3.735360e+04","2.022398e+04","1.170397e+05","9.831638e+04","0.458840155496941","0.86083084778601"
"157","1::B0V2N1","9.645228e+04","6.118467e+04","7.019898e+04","6.920190e+04","8.029226e+04","6.137430e+04","1.955986e+05","0.460083674096459","0.86083084778601"
"158","1::P01837","1.080860e+05","1.545389e+05","1.841458e+05","2.146832e+05","9.113617e+04","2.424216e+05","4.135134e+05","0.466171424300884","0.86083084778601"
"159","1::P19253","2.058294e+04","1.366444e+03","1.193993e-05","3.190432e+04","1.699992e+04","9.481960e+02","1.688408e-05","0.467328759626155","0.86083084778601"
"160","1::P26040","6.816518e+04","1.401707e+05","8.413098e+04","7.248060e+04","8.184763e+04","1.036830e+05","1.504309e+05","0.46973823609269","0.86083084778601"
"161","1::P39061","9.161452e+03","4.210111e+03","8.188106e+02","9.596315e+03","3.315968e+04","3.779421e+03","6.011063e+03","0.470920875926621","0.86083084778601"
"162","1::P27773","1.015746e+06","1.414471e+06","1.398133e+06","9.870576e+05","8.507790e+05","1.878275e+06","1.748400e+06","0.472790817576319","0.86083084778601"
