"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"93","1::P29788;1::Q8BP99","5.097813e+06","5.875771e+06","8.637746e+06","5.452963e+06","3.079678e+06","5.577993e+06","5.577320e+06","0.24944687440436","0.783731537139749"
"94","1::P17897","7.946494e+05","8.263942e+05","1.078051e+06","9.445591e+05","8.358056e+05","3.359575e+06","2.004838e+06","0.253241954131641","0.783731537139749"
"95","1::P31240","1.422359e+05","2.078083e+05","1.969190e+05","1.385783e+05","1.777203e+05","4.810254e+05","2.770671e+05","0.253515716289354","0.783731537139749"
"96","1::Q60847","1.319899e+05","1.241872e+05","1.321159e+05","1.654107e+05","2.009918e+05","1.327331e+05","1.750622e+05","0.254301907670385","0.783731537139749"
"97","1::Q9R098","2.524500e+03","1.056350e+04","1.189198e+04","2.014263e+04","6.598371e+04","2.290380e+04","1.718179e+04","0.255349959928069","0.783731537139749"
"98","1::E9PV24","1.143743e+09","8.522773e+08","8.464162e+08","1.024334e+09","1.046045e+09","4.121951e+08","5.457889e+08","0.257340690551317","0.783731537139749"
"99","1::Q4ZJN1","3.399347e+04","4.811387e+04","3.795992e+04","5.371667e+04","3.034027e+04","1.151012e+05","1.512040e+05","0.260715414294745","0.783731537139749"
"100","1::Q8CG19","4.246034e+04","7.610431e+04","6.837505e+04","3.578092e+04","3.792264e+04","1.446150e+05","1.622305e+05","0.263520956045236","0.783731537139749"
"101","1::Q8K182","1.386785e+06","2.037156e+06","2.035800e+06","2.538581e+06","1.243712e+07","3.550790e+06","3.593462e+06","0.264738746659246","0.783731537139749"
"102","1::Q8K0E8;1::Q9JJ59","6.446818e+08","4.564360e+08","4.447160e+08","6.438604e+08","5.992904e+08","2.246216e+08","3.159719e+08","0.276000623792508","0.809060652097645"
"103","1::Q03401;1::Q03402","1.028407e+05","1.280430e+05","1.757458e+05","1.233426e+05","1.258275e+05","2.833070e+05","1.870279e+05","0.282547056706844","0.814556560611482"
"104","1::Q00724","1.475214e+04","5.813016e+04","9.561432e+04","9.408939e+04","6.455907e+04","2.663080e+05","1.234126e+05","0.285833246614173","0.814556560611482"
"105","1::P26043","2.517621e+05","3.771655e+05","3.490874e+05","2.307230e+05","2.395866e+05","6.226270e+05","5.386038e+05","0.289637365887929","0.814556560611482"
"106","1::P59999","2.796471e+05","2.925099e+05","2.066354e+05","3.173235e+05","2.086251e+05","2.886569e+05","1.688764e+05","0.293076313661307","0.814556560611482"
"107","1::O08842","3.164254e+04","5.527649e+04","6.127668e+04","3.904124e+04","4.251154e+04","1.371120e+05","7.721788e+04","0.293273004431274","0.814556560611482"
"108","1::P70389","6.765025e+03","2.213999e+04","2.241981e+04","1.789698e+04","3.595424e+04","1.274336e+04","3.549611e+04","0.296878415910579","0.814556560611482"
"109","1::O70251","3.337161e+04","1.139276e+05","9.920974e+04","5.906505e+04","6.047902e+03","4.423738e+04","7.943953e+04","0.296945368249671","0.814556560611482"
"110","1::P02088","1.293328e+05","1.930760e+05","2.668289e+05","2.561823e+05","1.939910e+05","4.793434e+05","2.999102e+05","0.306756615015668","0.830566604895137"
"111","1::P39876","1.423725e+06","1.847613e+06","2.730295e+06","1.224099e+06","9.744006e+05","5.370336e+06","4.477860e+06","0.30998805311492","0.830566604895137"
"112","1::Q8VCG4","1.913136e+06","2.400374e+06","2.390723e+06","2.264898e+06","1.053282e+07","3.021417e+06","2.941772e+06","0.324968511575935","0.830566604895137"
"113","1::Q07235","4.113091e+04","1.059547e+05","1.512719e+05","5.639097e+04","4.546713e+04","4.184672e+05","2.183856e+05","0.325803574327479","0.830566604895137"
"114","1::O70165","2.808349e+04","1.789630e+04","2.443780e+04","2.686724e+04","3.633767e+03","8.422018e+04","9.963631e+04","0.328037572832699","0.830566604895137"
