"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"2113","sp|P62249|RS16_HUMAN",45421.1148138628,71855.8608548997,144413.5807,164963.792418244,168933.72517339,175530.235005296,18394.5130456184,424453.271146947,285341.606922205,1255649.81958023,1198636.11016515,760693.683370031,694777.388821087,"0.772257176267271"
"2114","sp|P04921|GLPC_HUMAN",513398.704259908,411962.164275075,775193.4049,746797.257207442,273019.421966446,307489.823174811,960644.138664977,136030.619643692,130902.563716994,235367.276108518,298132.167795121,356704.174002074,293657.19964496,"0.394719700984705"
"2115","sp|P13928|ANXA8_HUMAN",8645.56663817412,7649.90507327071,37860.38612,36472.5102894555,29796.7095239279,41023.8776230055,5902.9662293642,70609.1818725799,111423.167298478,388727.131718547,318258.230143481,106159.373201061,108192.501461843,"0.830012530559214"
"2116","sp|Q86WV6|STING_HUMAN",141524.921425356,162751.876194363,505218.5904,420699.678750528,688896.164983003,677684.478952499,53792.6403764579,714041.307996544,608109.865972289,894154.564625061,898496.508855296,696315.814235084,785429.748092872,"0.620146006471184"
"2117","sp|Q9H4A6|GOLP3_HUMAN",97644.5177271736,95640.9882748375,216032.307,201938.70471376,272280.037843214,271415.374373789,67630.0510812231,329835.628205202,340457.353848873,946666.779768141,975442.547078191,563364.647270811,527105.473545978,"0.812514043158148"
"2118","sp|Q8N6T3|ARFG1_HUMAN",96084.0654137785,104047.431800228,129656.0652,131110.035755269,273984.593891541,235126.840453815,30013.9637395294,468631.003443569,515888.909821515,634465.796887076,741347.405795697,370541.988282168,457369.2364262,"0.764736750711302"
"2119","sp|P01624|KV306_HUMAN;sp|P01605|KV113_HUMAN;sp|P04207|KV308_HUMAN",215735.054704547,280422.017800802,1524493.115,1384274.7024332,280276.104641503,273128.558145385,242267.257066555,676812.269095164,521031.716356066,1447825.9195002,1941263.64653754,2409624.25298691,2551407.17861763,"0.563423441392073"
"2120","sp|P50402|EMD_HUMAN",104437.655058546,77402.0260878271,168844.7114,228232.719384305,135185.843242516,150599.453553966,35079.7198490563,376374.796276785,482482.456496018,572444.119146357,546732.235499274,449963.057907783,447390.247279614,"0.574478397715521"
"2121","sp|P22748|CAH4_HUMAN",52680.0137286915,83746.60594396,84245.24767,68639.2001870869,153534.308321427,161356.769945025,42872.1925429217,26209.6622396938,37727.6559075843,24706.3698786675,24270.1953334985,47708.0882544857,51314.3919766106,"0.94188115599719"
"2122","sp|P61201|CSN2_HUMAN",144398.196172026,185873.754834668,293517.31,271452.541087212,297612.365156771,282511.450264164,90877.3487225041,827757.906973986,766824.051325373,512119.785241632,508282.701670247,890452.316450316,921798.806083674,"0.230303233126769"
"2123","sp|Q8TE77|SSH3_HUMAN",85678.6013509607,123873.690510877,127952.0388,107911.751373321,289176.935718156,209393.197464622,30990.5576255251,209558.227649515,184033.696489317,359714.808657196,344773.682292236,108071.311311467,131632.740476097,"0.950137872404549"
"2124","sp|Q96T92|INSM2_HUMAN",333512.834117135,526443.130560087,735772.8806,591569.449972859,843904.991098958,820420.080592605,211023.116797325,4324054.35920169,4550466.62656806,2034305.23932797,2204356.79561961,2686588.10261955,2969619.70553685,"0.297785791987295"
"2125","sp|P16671|CD36_HUMAN",158813.996728991,159488.226795487,232010.4531,146465.143811041,494000.612899202,420277.878146321,498531.913827059,67834.5121822419,100721.38248405,116254.219177943,123349.197729137,311819.961304266,277961.776383032,"0.395835521026333"
"2126","sp|O00116|ADAS_HUMAN",71509.0458375165,76572.4128058691,90736.39671,45071.4326665101,204880.479915576,169139.108357059,8868.45577590754,263384.703624521,227744.370791463,376243.292176356,271685.674657255,205583.228735608,275576.436464395,"0.494066411620813"
"2127","sp|O95757|HS74L_HUMAN",16148.3319857133,18602.6233681965,33446.50103,35603.784088334,45796.4948497799,35092.5101776218,6041.79741435315,118154.322578399,134474.809923628,36331.1271175442,36926.238382838,113888.886311971,117080.338582807,"0.0484645091038907"
"2128","sp|Q9Y376|CAB39_HUMAN",49091.2547055436,53430.4725237022,78043.39447,78680.8733453337,115359.22899057,75753.9803203415,29640.4967907008,226993.07013069,251082.690762793,233167.064009552,191931.784230624,206025.042024621,193035.332779981,"0.407561325914883"
"2129","sp|P16930|FAAA_HUMAN",288735.694832352,362324.920309649,288652.0807,264075.668135194,112629.730576472,107361.282265718,241411.343818083,452466.040441451,551556.70890966,156222.332447487,162495.49802639,712157.271174154,559959.810784163,"0.179580853117969"
"2130","sp|Q96D96|HVCN1_HUMAN",54793.7747801636,64537.1506267815,79789.3702,61215.5124578635,46035.6328602556,90220.3037354287,113170.366103066,136974.710933003,129810.067574826,129035.24666786,91194.978789896,135447.55181142,125797.515235219,"0.182210203789494"
