"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1445","sp|P05976|MYL1_HUMAN;sp|P08590|MYL3_HUMAN",2054642.5423348,1702477.8705109,4509293.27331295,4782089.4263084,3281072.97251661,3193336.8869859,8960491.35225669,1414028.73471167,1477007.53566667,958407.505587245,954918.820820847,2604001.74706313,2383490.6598178,"0.818920840820417"
"1446","sp|O14617|AP3D1_HUMAN",96458.1736180992,96778.1270942355,119732.1713666,130942.802916105,150466.381443053,129692.434643823,91605.5795422007,96827.0887293066,124873.300837036,108204.471446292,85350.8278541387,131526.6838052,143170.123158858,"0.0610307830650786"
"1447","sp|Q9Y295|DRG1_HUMAN",121590.415205218,201250.998560811,295998.619520117,747141.433667578,169645.022961507,146635.008350135,286548.26555043,219447.402557233,264892.227624669,412761.048972747,307661.047258083,346401.091915372,406632.468147369,"0.373815631893178"
"1448","sp|Q9C0C9|UBE2O_HUMAN",348982.298846048,312166.843436199,94695.2459693355,121459.037700976,248373.544774198,331065.225249683,406645.894207022,316828.336758026,272550.085699691,219668.234439507,222182.462014818,335783.65590358,356017.580025971,"0.957743568566377"
"1449","sp|Q15067|ACOX1_HUMAN",364472.923275046,317432.35468507,161620.208761513,151725.964783495,124335.297793897,148454.528243119,202341.92773151,265651.457990083,264284.23284213,172371.798131449,195345.699130666,176217.851706903,194012.096662722,"0.5166469372208"
"1450","sp|Q32MZ4|LRRF1_HUMAN",205632.684471184,367999.123116614,235323.100291655,200731.927231166,352535.514629879,345875.987754721,125577.935247211,332472.72475335,170910.463251369,193366.093069374,238578.346409511,358982.180031946,285179.076550284,"0.499364700856065"
"1451","sp|Q9Y6D5|BIG2_HUMAN;sp|Q9Y6D6|BIG1_HUMAN",230734.513302477,243347.109231076,338852.605840712,300643.341317487,339236.854614785,268159.524861327,326065.793889367,361479.603356116,432780.257604295,448943.508329023,411534.403239777,289649.080336021,346205.81924059,"0.602177350861302"
"1452","sp|Q9NVP1|DDX18_HUMAN",192755.0279561,156126.655196284,233854.669952559,290807.150552267,142187.865533648,133889.161084129,582905.067695013,233393.052463552,223111.456266647,111332.373879468,162955.833646413,167765.88655421,183360.355009767,"0.74520075640245"
"1453","sp|P53597|SUCA_HUMAN",677264.509730356,679316.666045427,584935.270811385,584746.714391446,651717.828964033,575466.336736699,418116.563800929,454409.771513108,461030.575590661,669027.631975746,542446.210746137,638013.268605566,581932.012081121,"0.729692972045765"
"1454","sp|P30613|KPYR_HUMAN",54936.4371229442,63607.9608711772,31266.0797145494,16228.7509517231,2939.63133522071,311.452851759671,81504.6855100321,1903.51412897795,2873.45636925137,439.442336944961,148.490400812373,2676.322254899,2571.05765820886,"0.519018390693046"
