"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1192","sp|Q12888|TP53B_HUMAN",171918.527734981,179703.909699518,109716.887760666,131616.729281054,154490.112540193,173501.297768008,34301.9023677905,342978.076962423,315698.391928658,169968.652041154,173926.974641525,171914.606162374,165645.919560156
"1193","sp|P07305|H10_HUMAN",1429272.38928555,1354042.93863824,740089.028848104,925287.138132358,3481863.26370694,3822401.4608989,1827407.50145369,1019953.6658005,657717.630889891,892177.424925102,1276072.87116619,1314839.75413633,1247265.45443479
"1194","sp|Q13057|COASY_HUMAN",126174.618029593,121356.855756887,204935.871146,189968.742606675,99276.6901599928,84340.1026158468,126423.336452289,286563.644864319,257819.363555529,131169.536937164,131767.112923922,396084.795374309,293215.02502448
"1195","sp|P05546|HEP2_HUMAN",223546.962133244,239510.168800547,133171.679905572,109144.707502741,86884.6015602795,138723.959735908,236431.369932092,77760.1446067042,73337.3107290643,147209.775086749,115685.116371188,119892.892584801,104407.449879269
"1196","sp|P06280|AGAL_HUMAN",614514.140088666,567976.076579572,74609.431505066,97345.2695787572,76507.4943362538,84635.8573472788,133635.021199588,290058.270857106,399107.146246042,241446.822945465,286487.873097347,242219.648475113,226495.907158224
"1197","sp|Q9UBR2|CATZ_HUMAN",2370325.38146184,2611527.34686406,687324.967501884,731547.171269781,1069442.11163573,934619.265187885,809525.471461249,2081399.23408919,2326232.5338785,992323.797394974,1132508.14174705,1688684.84623497,1447233.84852116
"1198","sp|Q16698|DECR_HUMAN",3282261.01816506,4265171.94391952,1863931.64340343,2002146.30706251,1812504.75513821,1960949.04262634,986241.743096196,2329016.89394793,2086387.11130462,2092906.98438792,2588557.4044513,1873512.30720381,1921833.26804562
"1199","sp|Q03135|CAV1_HUMAN;sp|P56539|CAV3_HUMAN",5041880.36872328,8576933.27656732,4473151.90278311,4885882.41015682,4396703.34847504,4745623.58588592,5336469.75009644,670390.27009225,506447.049147551,730167.463921077,798087.000273461,1029670.09869132,919816.999904179
"1200","sp|P00441|SODC_HUMAN",5916846.66912351,6144950.9995,4089680.54477493,4354975.83856676,5299338.24601855,5379863.55349223,7800217.4940226,1661538.29351728,1368293.5389246,1759231.29770624,1482395.25320247,1176140.90925806,1223770.20070284
"1201","sp|Q8TDL5|BPIB1_HUMAN",1340946.89537444,1962195.62357698,2799027.56583844,3031491.19510548,644039.764504066,756510.660438956,905011.312449093,207661.565388955,118576.685940392,2267626.5870618,2383945.38788232,2529165.83896391,2386683.42153818
"1202","sp|P28070|PSB4_HUMAN",736363.956187917,652625.682216991,832695.467802647,593442.003074521,1297697.47621794,1858424.61187294,1513269.8137346,1193429.73700725,1473085.83849837,895137.339904444,832561.356402523,1165947.26061214,1146882.17772334
"1203","sp|Q9NNW7|TRXR2_HUMAN",81601.9289452924,76946.4927228022,19637.3068664404,35270.9341744622,27393.8884219927,22606.1151205164,8792.23766986296,37295.4159185878,30817.7767299283,16888.710530117,31411.7382026211,140702.088977407,127117.555246906
"1204","sp|O00203|AP3B1_HUMAN",152250.917023005,112337.597580959,153067.80728091,137006.753080917,178293.01849181,162594.535997551,119237.08611855,129221.290737364,130976.660955437,210911.858480239,205565.90937042,157831.739867784,182943.247987953
"1205","sp|Q15459|SF3A1_HUMAN",295290.597581542,310078.01421614,220492.300405078,212165.035995097,358316.407378887,276514.264413473,198927.576547706,498864.03430581,343287.980878596,272158.899250676,203409.993914518,387928.09685649,424920.357070468
"1206","sp|P29966|MARCS_HUMAN",645311.239179248,734661.129735435,509323.011750079,849895.119047598,901509.861059302,822374.04288483,670087.480036505,1000089.93121155,941234.098836885,839073.793716358,830338.059318396,901229.26645036,860687.335613355
"1207","sp|Q9Y624|JAM1_HUMAN",980192.383794985,907923.689091259,935439.474032767,1290206.49001304,1180085.16247378,1216742.6192219,1225746.18757387,988857.917385203,909189.066742107,355309.206833567,413500.951872815,383906.432736498,326917.91977052
"1208","sp|P62993|GRB2_HUMAN",1879334.62614594,1168799.7957723,1003961.32035259,983746.82850972,761516.578903689,708611.119420371,991866.358015629,1009250.25567946,1073796.40967269,944250.730828148,1016598.14056401,704998.680237736,747792.51916894
"1209","sp|Q5JTV8|TOIP1_HUMAN",413834.664028053,504299.271666684,322384.26529999,184708.097536833,501763.820654915,460297.597867769,271774.801128098,641235.132775188,519839.555268622,641655.564387686,718161.288763143,536236.957418181,520327.165202591
"1210","sp|P39900|MMP12_HUMAN",68476.5846842561,29262.5182751749,134575.879059355,102160.788623717,62428.4828820499,39796.9618900316,47990.2385849256,104458.35706701,99460.1986987803,90512.4939512935,95562.0181927024,457738.936132913,402948.605679431
"1211","sp|P49593|PPM1F_HUMAN",464333.563779359,406497.569443898,421646.268543079,440270.489745031,587734.451037966,577845.793377175,285403.083318403,233083.526800128,226505.344533139,206710.053811058,214912.574153427,343173.031241263,364352.367587754
"1212","sp|Q6YHK3|CD109_HUMAN",251035.537724913,275068.209512602,415046.068835052,313856.348259783,636907.752409941,636666.827501239,197912.910754221,317916.286242701,315355.430253615,216031.631780016,195664.868516842,1045086.2381185,875602.92105103
"1213","sp|Q13838|DX39B_HUMAN;sp|O00148|DX39A_HUMAN",3434375.69415779,2806034.82527636,2632164.52979916,2108646.12951258,3227309.04160335,3465531.96798664,3084545.34125628,3085773.45237256,3455902.11169876,3002512.90859861,2891072.32996461,3406879.89691023,3290813.22345606
"1214","sp|P82979|SARNP_HUMAN",404009.467602298,420281.796415876,538690.411112188,490615.036367451,401421.628715243,374023.011436523,1096623.3704926,216214.30983677,275205.292870589,456948.163517161,418316.601004399,450954.595619101,576356.861880078
"1215","sp|O75828|CBR3_HUMAN",130086.240699844,106588.401447842,150847.504547242,102922.467404431,133431.518958711,123095.456330388,183068.400781537,63131.5626474004,85947.3322381743,85806.510993126,59082.4456942794,341826.058949857,322127.659707956
"1216","sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN",1666970.52401102,1742872.66217176,896669.05682125,1002696.62928329,991328.566490301,1256374.42977434,1334173.20752838,823688.09672028,874112.276285367,578398.971098282,636502.031480133,893826.869788408,922064.706377808
"1217","sp|Q96NY7|CLIC6_HUMAN",97438.8736087911,145240.854246631,160595.089921243,161281.770534494,268111.102266003,175659.076673457,153938.64531593,48898.8505676425,72174.5397491139,146301.917471745,136380.667997159,255212.071382844,233043.875393539
"1218","sp|P55001|MFAP2_HUMAN",104914.849214606,79195.9434492719,202254.288084754,203323.486959963,200431.363923746,175623.329714342,52092.6377894497,702498.62337161,215728.886900757,864603.638939073,785702.532920043,88013.4285298682,110869.02257418
"1219","sp|O60610|DIAP1_HUMAN",263859.167579061,553817.738733568,288606.223298688,325559.167696426,350860.945648821,442522.629091171,428633.039690059,351049.636860905,402990.612019701,75074.3977708276,112837.446263067,468974.864576852,424215.033704924
"1220","sp|P02746|C1QB_HUMAN",577957.564430908,619025.667453824,1003397.15087047,733592.415207922,325697.148513137,434969.231383601,1071419.47805792,219369.254504151,168310.475101828,499632.705822559,576434.09779846,198679.077813651,174034.236551563
"1221","sp|O94925|GLSK_HUMAN",421242.450094752,677493.290736494,300206.803415999,215439.76935356,520506.394018012,356697.369229795,167673.931259416,194243.117753555,121163.217415325,292371.408805404,380387.804536944,230677.026248184,217463.786467673
"1222","sp|Q7Z4W1|DCXR_HUMAN",401614.325334217,337781.75319132,333531.571781046,345517.512568205,259345.426709965,230408.132827555,442921.417715986,293530.100071105,335143.010925906,249543.087473867,234862.741389036,322747.446647841,357742.749708294
"1223","sp|Q93084|AT2A3_HUMAN;sp|O14983|AT2A1_HUMAN",418217.050105498,738883.641554188,620294.893945614,650624.431456851,461507.364222291,435244.560381229,1334977.00840468,895098.309621258,734208.454726264,246785.932545509,241298.883490292,744657.716890305,733566.49832841
"1224","sp|O15400|STX7_HUMAN",880495.200839869,670349.679127414,652002.835489349,671865.101532329,582555.319602496,629662.813224445,562244.701983144,543994.266681532,565359.677667149,713122.508597155,662710.509201202,397822.934885562,407681.423644087
"1225","sp|Q8TC07|TBC15_HUMAN",523659.040223702,434312.059155748,385883.744333267,356553.05658037,396912.851037939,407883.827483029,471039.787311958,361610.732617787,301555.295406437,456261.817621815,381170.169762082,300058.251716845,379365.858728359
"1226","sp|Q14574|DSC3_HUMAN",71726.323223934,89623.6063563319,93435.9776445795,97283.495619765,46073.7064615284,59645.8137313247,163489.150006051,1331280.90659419,1298285.02675608,100344.875287426,137931.209940815,183239.044434745,239813.669513763
"1227","sp|Q58FG1|HS904_HUMAN;sp|Q58FF7|H90B3_HUMAN;sp|Q14568|HS902_HUMAN",274174.954087033,193809.107077051,180871.558249436,176503.755339433,173620.075412375,194519.357019908,462017.052128269,690101.561558049,700359.068381645,63759.3716870908,78071.8568681105,325574.410168551,346964.963316372
"1228","sp|P36873|PP1G_HUMAN",41593.7684026574,39008.6756826342,43591.9521917911,56065.5025183103,36645.1018047874,42473.930919616,24502.5615184665,80549.3933190613,73213.747500556,40783.5388096047,49688.4598840862,63767.2971762776,58902.7346064717
"1229","sp|Q9NP72|RAB18_HUMAN",361206.973440474,420311.238168126,247604.825079015,163879.442663697,382237.596495171,368832.902058521,150147.326035278,463558.929598246,375533.193987227,531984.89302939,606914.825230571,332938.818483674,500870.551428075
"1230","Int_P08311ups|CATG_HUMAN_UPS",728543.229190453,844728.138921294,910192.695565755,1215776.18397627,460396.948800194,448051.819450864,540599.955636684,1131707.89807412,1034218.11029522,320552.932705653,318880.397213293,1034391.01299972,1065777.67670309
"1231","sp|P17301|ITA2_HUMAN",37137.4946980029,50841.4721949584,91367.3427002758,95847.9371155876,55773.0442571281,43507.1895639835,115510.462675406,69440.5905453386,55676.131731287,252209.912548776,264164.85628407,132935.627069722,134240.077171914
"1232","sp|Q14444|CAPR1_HUMAN",216279.412702958,347179.237464563,387631.693912789,514881.389708448,344005.993020214,376826.584499824,360889.944161834,813538.595108587,801269.366509249,511677.171834951,474395.610442667,649973.651828955,725762.407903806
"1233","sp|Q9P0L0|VAPA_HUMAN",548884.03898855,402851.820196288,327272.473239719,333164.530463041,476193.472347406,524933.344020006,291024.231043617,276654.449242507,347721.27057213,383627.468672349,541630.75666191,418083.295111078,377477.480129428
"1234","sp|P13674|P4HA1_HUMAN",169318.055100423,183049.184026068,194144.006993938,271236.25447195,252313.704554793,160331.140968982,239372.235462851,884570.132515588,865663.824913458,1494434.24074242,1562142.59054124,682329.096605827,675807.687982126
"1235","sp|Q5T1M5|FKB15_HUMAN",250677.937878841,381297.191581213,270996.566652485,162049.297823367,280038.454992041,256317.839232822,314910.079502258,300229.793688001,217693.846774291,495644.21999141,379723.509224654,155791.716029348,198446.28937282
"1236","sp|Q32P28|P3H1_HUMAN",31895.9283229133,29106.8807876037,33458.2660910026,63970.8781098141,54684.8478878597,46212.9400597714,33248.5756443724,164447.774362661,176258.462613586,176120.086720798,169617.86534406,80271.8801000683,69003.3028272515
"1237","sp|Q9HAV0|GBB4_HUMAN;sp|P16520|GBB3_HUMAN",2161779.47582305,1834708.82174844,2730443.7611133,2277549.90200929,2553262.70239869,2345129.77564285,2034592.63089692,1468317.46233325,1699329.40735267,1950395.12733088,1623759.13082942,2004352.03354535,1953718.8124977
"1238","sp|Q9BXM0|PRAX_HUMAN",134705.933643747,113334.288684778,407295.807862247,403691.482704496,402598.072201686,449969.828603476,119909.984431333,41004.7809154487,48746.920220545,219454.390485345,150757.169924562,18709.5312379901,13960.9583987274
"1239","sp|Q9UBB4|ATX10_HUMAN",164116.177369791,172674.656375321,241895.399812271,244384.022635875,387292.936304978,341931.76687825,111155.294956088,711405.898569424,638284.231319801,761042.419915638,764520.700169952,568680.907001847,592135.920471036
"1240","sp|Q13085|ACACA_HUMAN;sp|O00763|ACACB_HUMAN",181494.585197923,140225.298570572,103270.882616796,88514.3804310081,173612.437799464,184282.907717568,48087.1532792721,142532.032740251,137981.567118982,131868.521709741,129890.620505842,118448.885131911,108463.706820264
"1241","sp|P80303|NUCB2_HUMAN",355308.812323088,236342.04905625,185797.302954837,206990.086594097,321289.178469881,377005.921085436,374392.611150498,575551.979459604,637376.439951095,476508.622160311,462819.880443265,1043472.63693814,1132992.36331644
"1242","sp|P06899|H2B1J_HUMAN",105856934.177761,130916344.638206,84909278.9614614,90446851.0003526,136871176.153528,151827761.394889,98490683.3511107,22217404.623404,24298380.5524403,31632747.5963896,29655982.1463514,121188832.258943,117979799.110271
"1243","sp|Q96FN4|CPNE2_HUMAN;sp|Q86YQ8|CPNE8_HUMAN;sp|Q9HCH3|CPNE5_HUMAN;sp|Q9UBL6|CPNE7_HUMAN;sp|Q8IYJ1|CPNE9_HUMAN;sp|O95741|CPNE6_HUMAN;sp|Q96A23|CPNE4_HUMAN",10770619.4078321,9642030.61187297,9161264.38761803,8196759.39355993,11473025.0599281,11042019.0105374,9258567.34182738,13199269.9054171,8069918.96398715,6545217.96949811,6585407.48202477,4072692.32692076,5514232.35164421
"1244","sp|Q15080|NCF4_HUMAN",218969.605992945,264813.899129467,113809.920661062,99489.2529526455,108023.092171168,113032.524371053,145118.046197552,169221.481426428,157937.237975116,58853.5503543566,50356.4436307243,246068.462972309,245261.950374505
