"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1268","sp|P68400|CSK21_HUMAN;sp|Q8NEV1|CSK23_HUMAN",341755.750513073,855047.37281462,621125.183407616,579462.926191519,766885.492538328,897339.711741774,127713.450000342,2241698.26747177,1495910.54920988,1723213.07511133,1807397.65302918,2128155.03294852,2042991.22105192
"1269","sp|O14672|ADA10_HUMAN",146382.908077449,182081.077382299,353101.627932087,266226.9979786,418003.232052198,429904.419627189,71590.9389188762,439579.140678972,554329.679505954,625574.429530295,644783.509470217,347903.104257573,457509.722736522
"1270","sp|Q9UL25|RAB21_HUMAN",269900.473225217,147164.957208227,297193.044835321,241997.998111759,445676.110397205,433225.822745673,56566.8062838332,949464.643292952,746626.542609713,1034330.71096829,776761.15395845,738049.90236431,814971.899258454
"1271","sp|Q9HCB6|SPON1_HUMAN",176829.192303758,311041.339001309,530689.029182561,455594.108801734,642970.851902777,656428.415113301,120906.999259835,494064.447883712,561385.152259696,1854086.69958682,1788279.84794808,514274.19670182,523781.141632321
"1272","sp|P04181|OAT_HUMAN",32227.642456184,38537.3495874641,47994.9504954487,31917.9597006368,114825.707089345,88168.6810741676,13407.8255755377,694870.748037297,729109.34285524,1537013.75892498,1387339.8764052,495316.924072957,445513.32223449
"1273","sp|P46379|BAG6_HUMAN",116029.650717289,115693.99117353,213177.801010266,165552.68952704,258256.470557071,175674.129999192,69878.919906562,801850.43298784,718297.59479085,744098.023378035,692814.640727208,455143.827703394,527838.008047494
"1274","sp|Q8TD19|NEK9_HUMAN",115852.460063576,106208.224887578,273266.95984276,207454.385756427,458199.225709937,439421.070671559,76822.1964977403,358781.043579019,299495.269813795,803827.374781091,887189.788224154,456928.910188655,573039.69091181
"1275","sp|Q9UH99|SUN2_HUMAN",20191.2855943286,12646.4572769096,41521.8113663298,53842.2564452639,130806.793256719,109585.129815791,14214.6467801078,272755.482694028,178921.106439083,372239.592737032,451598.480779627,298470.536182467,316910.46446054
"1276","sp|P11498|PYC_HUMAN",30444.2632409333,30683.0183715645,45505.7911952869,26341.7817566252,53382.5233912709,44927.1748797398,13915.0879091653,153418.745053482,192299.849252688,157406.844017858,164118.414705363,140452.374788018,154952.310496211
"1277","sp|Q8N1F7|NUP93_HUMAN",57784.1594536091,109136.662456461,93860.3774594642,70734.7698694893,145969.583574859,123212.704802243,41359.3885229616,467293.019409441,452799.090143677,283276.427392529,258383.772361985,494320.525323278,552272.567052636
"1278","sp|Q9UJZ1|STML2_HUMAN",113371.265554408,94029.8155044194,249804.899047623,156893.706988644,117377.815784161,93904.3235339242,45910.5216206684,643569.209288386,589831.491953508,489179.64718598,516675.674693327,678421.402331768,732943.405847154
"1279","sp|Q9NY15|STAB1_HUMAN;sp|Q6ZMV7|LEKR1_HUMAN",87756.1072428685,65140.5384517214,95852.9858422434,90483.1673383941,100530.873046162,106621.970026772,44047.2547794994,740142.285925007,654255.97283872,280571.548266144,337112.052312466,308497.247504866,259785.318255016
"1280","sp|P01764|HV303_HUMAN;sp|P01768|HV307_HUMAN",4113510.20781858,4604953.90177384,13305529.4175604,15488691.5080994,10302330.1239404,11401773.9233482,5140151.78206084,5202385.51719327,5980764.4188499,13577398.5543527,15025310.8052681,8928803.47528576,8219445.87390435
"1281","sp|Q9UBX5|FBLN5_HUMAN",647003.157539328,721313.62128329,1181052.71375077,1049209.13720441,1469671.73190774,1361803.81151761,196770.896153777,372328.475145598,257517.370693037,2428256.75475457,2980580.51391859,919320.353357225,631483.343478616
"1282","sp|P08246|ELNE_HUMAN",518820.621705183,528690.464541691,697892.256572213,606490.069555218,506223.591400044,577888.771157627,555735.344058473,11384613.3802631,11931876.5401021,979914.137040298,937355.47168206,1963724.68706207,2325431.16309851
"1283","sp|O43488|ARK72_HUMAN;sp|Q8NHP1|ARK74_HUMAN;sp|O95154|ARK73_HUMAN",1727929.75570884,1644024.36102658,3700039.70836608,2979738.46451511,4555294.63294926,4695152.04935301,1388838.90090143,5987439.45414187,5923532.13627181,7068143.17320024,8321740.20809767,7342167.35689017,6514830.47978509
"1284","sp|Q9Y394|DHRS7_HUMAN",440825.588954859,399953.468190055,509883.730186165,379126.118964388,1350168.6905502,1198342.83855605,50601.022706751,1603176.80838997,1529757.60051735,1911015.48890188,1916356.65119105,2109631.62761114,2062102.55479371
"1285","sp|P62750|RL23A_HUMAN",220844.202130295,200186.159772759,338919.402184992,365489.382481407,384691.21192511,458202.791906069,169303.249999712,1090422.67811397,1138517.25322698,1697420.65811324,1683987.01302609,2094191.97125615,2077727.68934817
"1286","sp|Q15836|VAMP3_HUMAN",392556.080454357,548679.320491998,779608.387476429,581799.181418914,855813.622378738,730455.173934952,205693.634811662,2818616.6092415,1999611.69571709,3393683.96492685,3653482.14737391,911919.993509829,752441.539742445
"1287","sp|P17612|KAPCA_HUMAN;sp|P22694|KAPCB_HUMAN",163014.208604606,172684.138069519,446253.424903842,423231.778246222,469233.928491242,568672.394075454,167042.592005556,1049934.08348993,733888.138327378,677502.155272093,907928.760180304,904467.978442315,855258.594178169
"1288","sp|O15347|HMGB3_HUMAN",68760.3238038903,64451.7069961926,88052.1580993125,53404.3944786265,122511.271170238,83024.306563748,16210.1937560941,1085738.17716175,1195241.47523607,682448.249621424,849942.197758377,971588.572171263,933200.648452435
"1289","sp|O60256|KPRB_HUMAN",94329.7689381688,125145.278327517,212243.23870585,168918.141199938,139162.134504493,128900.282127091,104924.27969401,322566.122267557,322377.653638632,118784.904072967,125414.062954987,341146.449506861,395600.801918971
"1290","sp|P28288|ABCD3_HUMAN",105722.112110774,152602.746434832,250526.398772251,191683.575374954,369019.708525684,263909.371158091,50345.0408900148,536711.906145673,488473.25384099,902617.795697185,906456.27380167,501452.635143852,476985.515786755
"1291","sp|Q93008|USP9X_HUMAN;sp|O00507|USP9Y_HUMAN",112302.080964515,118685.304747154,335669.883827043,216632.773208806,314930.391883562,304513.221452477,165404.974197382,582982.493059438,579730.805678183,535034.785121057,661499.103812233,475420.7760774,467630.084231055
"1292","sp|Q15005|SPCS2_HUMAN",50555.0454294893,35005.330030385,117468.289283089,93963.1997452213,114593.775535109,119201.244133179,47165.6235551791,662560.780592221,588318.685151094,1215234.23638218,1278291.21531568,1502413.62561741,1529512.93289423
