"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"245","QM","MedI-G",6e-05,0,0,0,0,17
"246","QM","MedI-G",7e-05,0,0,0,0,17
"247","QM","MedI-G",8e-05,0,0,0,0,17
"248","QM","MedI-G",9e-05,0,0,0,0,17
"249","QM","MedI-G",1e-04,0,0,0,0,17
"250","QM","MedI-G",2e-04,0,0,0,0,19
"251","QM","MedI-G",3e-04,0,0,0,0,19
"252","QM","MedI-G",4e-04,0,0,0,0,22
"253","QM","MedI-G",5e-04,0,0,0,0,22
"254","QM","MedI-G",6e-04,0,0,0,0,22
"255","QM","MedI-G",7e-04,0,0,0,0,22
"256","QM","MedI-G",8e-04,0,0,0,0,23
"257","QM","MedI-G",9e-04,0,0,0,0,23
"258","QM","MedI-G",0.001,0,0,0,0,23
"259","QM","MedI-G",0.002,0,0,0,0,25
"260","QM","MedI-G",0.003,0,0,0,0,25
"261","QM","MedI-G",0.004,0,0,0,0,27
"262","QM","MedI-G",0.005,0,0,0,0,27
"263","QM","MedI-G",0.006,0,0,0,0,29
"264","QM","MedI-G",0.007,0,0,0,0,30
"265","QM","MedI-G",0.008,0,0,0,0,30
"267","QM","MedI-G",0.01,0,0,0,0,32
"268","QM","MedI-G",0.02,0,0,0,0,34
"269","QM","MedI-G",0.03,0,0,0,0,34
"270","QM","MedI-G",0.04,0,0,0,0,34
"271","QM","MedI-G",0.05,0,0,0,0,35
"272","QM","MedI-G",0.06,0,0,0,0,35
"273","QM","MedI-G",0.07,0,0,0,0,35
"274","QM","MedI-G",0.08,0,0,0,0,38
"275","QM","MedI-G",0.09,0,0,0,0,38
"276","QM","MedI-G",0.1,0,0,0,0,38
"277","QM","AI-G",1e-06,0,0,0,0,9
"278","QM","AI-G",2e-06,0,0,0,0,9
"279","QM","AI-G",3e-06,0,0,0,0,9
"280","QM","AI-G",4e-06,0,0,0,0,9
"281","QM","AI-G",5e-06,0,0,0,0,9
"282","QM","AI-G",6e-06,0,0,0,0,9
"283","QM","AI-G",7e-06,0,0,0,0,9
"284","QM","AI-G",8e-06,0,0,0,0,9
"285","QM","AI-G",9e-06,0,0,0,0,9
"286","QM","AI-G",1e-05,0,0,0,0,9
