"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"137","BT","MedI-G",0.09,0,0,0,0,12
"138","BT","MedI-G",0.1,0,0,0,0,13
"139","BT","TI-G",1e-06,0,0,0,0,0
"140","BT","TI-G",2e-06,0,0,0,0,0
"141","BT","TI-G",3e-06,0,0,0,0,0
"142","BT","TI-G",4e-06,0,0,0,0,0
"143","BT","TI-G",5e-06,0,0,0,0,0
"144","BT","TI-G",6e-06,0,0,0,0,0
"145","BT","TI-G",7e-06,0,0,0,0,0
"146","BT","TI-G",8e-06,0,0,0,0,0
"147","BT","TI-G",9e-06,0,0,0,0,0
"148","BT","TI-G",1e-05,0,0,0,0,0
"149","BT","TI-G",2e-05,0,0,0,0,0
"150","BT","TI-G",3e-05,0,0,0,0,0
"151","BT","TI-G",4e-05,0,0,0,0,0
"152","BT","TI-G",5e-05,0,0,0,0,0
"153","BT","TI-G",6e-05,0,0,0,0,0
"154","BT","TI-G",7e-05,0,0,0,0,0
"155","BT","TI-G",8e-05,0,0,0,0,0
"156","BT","TI-G",9e-05,0,0,0,0,0
"157","BT","TI-G",1e-04,0,0,0,0,0
"158","BT","TI-G",2e-04,0,0,0,0,0
"159","BT","TI-G",3e-04,0,0,0,0,0
"160","BT","TI-G",4e-04,0,0,0,0,0
"161","BT","TI-G",5e-04,0,0,0,0,0
"162","BT","TI-G",6e-04,0,0,0,0,0
"163","BT","TI-G",7e-04,0,0,0,0,0
"164","BT","TI-G",8e-04,0,0,0,0,0
"165","BT","TI-G",9e-04,0,0,0,0,0
"166","BT","TI-G",0.001,0,0,0,0,0
"167","BT","TI-G",0.002,0,0,0,0,0
"168","BT","TI-G",0.003,0,0,0,0,1
"169","BT","TI-G",0.004,0,0,0,0,1
"170","BT","TI-G",0.005,0,0,0,0,1
"171","BT","TI-G",0.006,0,0,0,0,1
"172","BT","TI-G",0.007,0,0,0,0,2
"173","BT","TI-G",0.008,0,0,0,0,2
"174","BT","TI-G",0.009,0,0,0,0,2
"175","BT","TI-G",0.01,0,0,0,0,2
"176","BT","TI-G",0.02,0,0,0,0,3
"177","BT","TI-G",0.03,0,0,0,0,4
"178","BT","TI-G",0.04,0,0,0,0,5
"179","BT","TI-G",0.05,0,0,0,0,5
"180","BT","TI-G",0.06,0,0,0,0,6
"181","BT","TI-G",0.07,0,0,0,0,9
"182","BT","TI-G",0.08,0,0,0,0,9
"183","BT","TI-G",0.09,0,0,0,0,13
"184","BT","TI-G",0.1,0,0,0,0,15
"185","BT","RLR-G",1e-06,0,0,0,0,91
"186","BT","RLR-G",2e-06,0,0,0,0,97
"187","BT","RLR-G",3e-06,0,0,0,0,101
"191","BT","RLR-G",7e-06,0,0,0,0,108
"192","BT","RLR-G",8e-06,0,0,0,0,109
"193","BT","RLR-G",9e-06,0,0,0,0,110
"194","BT","RLR-G",1e-05,0,0,0,0,110
"195","BT","RLR-G",2e-05,0,0,0,0,117
"196","BT","RLR-G",3e-05,0,0,0,0,121
"197","BT","RLR-G",4e-05,0,0,0,0,125
"198","BT","RLR-G",5e-05,0,0,0,0,128
"199","BT","RLR-G",6e-05,0,0,0,0,130
"200","BT","RLR-G",7e-05,0,0,0,0,133
"201","BT","RLR-G",8e-05,0,0,0,0,134
"202","BT","RLR-G",9e-05,0,0,0,0,134
"203","BT","RLR-G",1e-04,0,0,0,0,136
"204","BT","RLR-G",2e-04,0,0,0,0,144
"205","BT","RLR-G",3e-04,0,0,0,0,151
"206","BT","RLR-G",4e-04,0,0,0,0,158
"207","BT","RLR-G",5e-04,0,0,0,0,162
"208","BT","RLR-G",6e-04,0,0,0,0,165
"209","BT","RLR-G",7e-04,0,0,0,0,166
"210","BT","RLR-G",8e-04,0,0,0,0,168
"211","BT","RLR-G",9e-04,0,0,0,0,169
"212","BT","RLR-G",0.001,0,0,0,0,171
"213","BT","RLR-G",0.002,0,0,0,0,181
"214","BT","RLR-G",0.003,0,0,0,0,196
"215","BT","RLR-G",0.004,0,0,0,0,202
"216","BT","RLR-G",0.005,0,0,0,0,208
"217","BT","RLR-G",0.006,0,0,0,0,212
"218","BT","RLR-G",0.007,0,0,0,0,217
"219","BT","RLR-G",0.008,0,0,0,0,221
"220","BT","RLR-G",0.009,0,0,0,0,224
"221","BT","RLR-G",0.01,0,0,0,0,226
"222","BT","RLR-G",0.02,0,0,0,0,248
"223","BT","RLR-G",0.03,0,0,0,0,261
"224","BT","RLR-G",0.04,0,0,0,0,269
"225","BT","RLR-G",0.05,0,0,0,0,278
"226","BT","RLR-G",0.06,0,0,0,0,284
"227","BT","RLR-G",0.07,0,0,0,0,286
"228","BT","RLR-G",0.08,0,0,0,0,295
"229","BT","RLR-G",0.09,0,0,0,0,301
"230","BT","RLR-G",0.1,0,0,0,0,305
"231","BT","Loess-G",1e-06,0,0,0,0,53
"232","BT","Loess-G",2e-06,0,0,0,0,57
"233","BT","Loess-G",3e-06,0,0,0,0,58
"234","BT","Loess-G",4e-06,0,0,0,0,58
"235","BT","Loess-G",5e-06,0,0,0,0,63
"236","BT","Loess-G",6e-06,0,0,0,0,63
"237","BT","Loess-G",7e-06,0,0,0,0,63
"238","BT","Loess-G",8e-06,0,0,0,0,64
"239","BT","Loess-G",9e-06,0,0,0,0,64
"240","BT","Loess-G",1e-05,0,0,0,0,68
"241","BT","Loess-G",2e-05,0,0,0,0,75
"242","BT","Loess-G",3e-05,0,0,0,0,79
"243","BT","Loess-G",4e-05,0,0,0,0,79
"244","BT","Loess-G",5e-05,0,0,0,0,82
"245","BT","Loess-G",6e-05,0,0,0,0,86
"246","BT","Loess-G",7e-05,0,0,0,0,88
"247","BT","Loess-G",8e-05,0,0,0,0,89
"248","BT","Loess-G",9e-05,0,0,0,0,93
"249","BT","Loess-G",1e-04,0,0,0,0,95
"267","BT","Loess-G",0.01,0,0,0,0,167
"268","BT","Loess-G",0.02,0,0,0,0,186
"275","BT","Loess-G",0.09,0,0,0,0,253
"276","BT","Loess-G",0.1,0,0,0,0,255
"323","BT","Quantile",1e-06,0,0,0,0,75
"324","BT","Quantile",2e-06,0,0,0,0,86
"325","BT","Quantile",3e-06,0,0,0,0,90
"326","BT","Quantile",4e-06,0,0,0,0,93
"327","BT","Quantile",5e-06,0,0,0,0,98
"328","BT","Quantile",6e-06,0,0,0,0,98
"329","BT","Quantile",7e-06,0,0,0,0,98
"330","BT","Quantile",8e-06,0,0,0,0,100
"331","BT","Quantile",9e-06,0,0,0,0,100
"332","BT","Quantile",1e-05,0,0,0,0,100
"333","BT","Quantile",2e-05,0,0,0,0,103
"334","BT","Quantile",3e-05,0,0,0,0,105
"335","BT","Quantile",4e-05,0,0,0,0,111
"336","BT","Quantile",5e-05,0,0,0,0,112
"337","BT","Quantile",6e-05,0,0,0,0,113
"338","BT","Quantile",7e-05,0,0,0,0,116
"339","BT","Quantile",8e-05,0,0,0,0,117
"340","BT","Quantile",9e-05,0,0,0,0,118
"341","BT","Quantile",1e-04,0,0,0,0,118
"342","BT","Quantile",2e-04,0,0,0,0,124
"343","BT","Quantile",3e-04,0,0,0,0,131
"344","BT","Quantile",4e-04,0,0,0,0,137
"345","BT","Quantile",5e-04,0,0,0,0,141
"346","BT","Quantile",6e-04,0,0,0,0,142
"347","BT","Quantile",7e-04,0,0,0,0,143
"348","BT","Quantile",8e-04,0,0,0,0,146
"349","BT","Quantile",9e-04,0,0,0,0,147
"350","BT","Quantile",0.001,0,0,0,0,150
"353","BT","Quantile",0.004,0,0,0,0,178
"354","BT","Quantile",0.005,0,0,0,0,180
"355","BT","Quantile",0.006,0,0,0,0,183
"356","BT","Quantile",0.007,0,0,0,0,188
"357","BT","Quantile",0.008,0,0,0,0,194
"358","BT","Quantile",0.009,0,0,0,0,197
"359","BT","Quantile",0.01,0,0,0,0,197
"363","BT","Quantile",0.05,0,0,0,0,252
"366","BT","Quantile",0.08,0,0,0,0,278
"367","BT","Quantile",0.09,0,0,0,0,282
"368","BT","Quantile",0.1,0,0,0,0,289
"369","T","None",1e-06,0,0,0,0,0
"370","T","None",2e-06,0,0,0,0,0
"371","T","None",3e-06,0,0,0,0,0
"372","T","None",4e-06,0,0,0,0,0
"373","T","None",5e-06,0,0,0,0,0
"374","T","None",6e-06,0,0,0,0,0
"375","T","None",7e-06,0,0,0,0,0
"376","T","None",8e-06,0,0,0,0,0
"377","T","None",9e-06,0,0,0,0,0
"378","T","None",1e-05,0,0,0,0,0
"379","T","None",2e-05,0,0,0,0,0
"380","T","None",3e-05,0,0,0,0,0
"381","T","None",4e-05,0,0,0,0,0
"382","T","None",5e-05,0,0,0,0,0
"383","T","None",6e-05,0,0,0,0,0
"384","T","None",7e-05,0,0,0,0,0
"385","T","None",8e-05,0,0,0,0,0
"386","T","None",9e-05,0,0,0,0,0
"387","T","None",1e-04,0,0,0,0,0
"388","T","None",2e-04,0,0,0,0,0
"389","T","None",3e-04,0,0,0,0,0
"390","T","None",4e-04,0,0,0,0,0
"391","T","None",5e-04,0,0,0,0,0
"392","T","None",6e-04,0,0,0,0,0
"393","T","None",7e-04,0,0,0,0,0
"394","T","None",8e-04,0,0,0,0,0
"395","T","None",9e-04,0,0,0,0,0
"396","T","None",0.001,0,0,0,0,0
"397","T","None",0.002,0,0,0,0,0
"398","T","None",0.003,0,0,0,0,0
"399","T","None",0.004,0,0,0,0,0
"400","T","None",0.005,0,0,0,0,0
"401","T","None",0.006,0,0,0,0,0
"402","T","None",0.007,0,0,0,0,0
"403","T","None",0.008,0,0,0,0,0
"404","T","None",0.009,0,0,0,0,0
"405","T","None",0.01,0,0,0,0,0
"406","T","None",0.02,0,0,0,0,36
"407","T","None",0.03,0,0,0,0,46
"408","T","None",0.04,0,0,0,0,60
"409","T","None",0.05,0,0,0,0,73
"410","T","None",0.06,0,0,0,0,116
"411","T","None",0.07,0,0,0,0,127
"412","T","None",0.08,0,0,0,0,141
"413","T","None",0.09,0,0,0,0,159
"414","T","None",0.1,0,0,0,0,184
"415","T","AI-G",1e-06,0,0,0,0,0
"416","T","AI-G",2e-06,0,0,0,0,0
"417","T","AI-G",3e-06,0,0,0,0,0
"418","T","AI-G",4e-06,0,0,0,0,0
"419","T","AI-G",5e-06,0,0,0,0,0
"420","T","AI-G",6e-06,0,0,0,0,0
"421","T","AI-G",7e-06,0,0,0,0,0
"422","T","AI-G",8e-06,0,0,0,0,0
"423","T","AI-G",9e-06,0,0,0,0,0
"424","T","AI-G",1e-05,0,0,0,0,0
"425","T","AI-G",2e-05,0,0,0,0,0
"426","T","AI-G",3e-05,0,0,0,0,0
"427","T","AI-G",4e-05,0,0,0,0,0
"428","T","AI-G",5e-05,0,0,0,0,0
"429","T","AI-G",6e-05,0,0,0,0,0
"430","T","AI-G",7e-05,0,0,0,0,0
"431","T","AI-G",8e-05,0,0,0,0,0
"432","T","AI-G",9e-05,0,0,0,0,0
"433","T","AI-G",1e-04,0,0,0,0,0
"434","T","AI-G",2e-04,0,0,0,0,0
"435","T","AI-G",3e-04,0,0,0,0,0
"436","T","AI-G",4e-04,0,0,0,0,0
"437","T","AI-G",5e-04,0,0,0,0,0
"438","T","AI-G",6e-04,0,0,0,0,0
"439","T","AI-G",7e-04,0,0,0,0,0
"440","T","AI-G",8e-04,0,0,0,0,0
"441","T","AI-G",9e-04,0,0,0,0,0
"442","T","AI-G",0.001,0,0,0,0,0
"443","T","AI-G",0.002,0,0,0,0,0
"444","T","AI-G",0.003,0,0,0,0,0
"445","T","AI-G",0.004,0,0,0,0,0
"446","T","AI-G",0.005,0,0,0,0,0
"447","T","AI-G",0.006,0,0,0,0,0
"448","T","AI-G",0.007,0,0,0,0,0
"449","T","AI-G",0.008,0,0,0,0,0
"450","T","AI-G",0.009,0,0,0,0,0
"451","T","AI-G",0.01,0,0,0,0,0
"452","T","AI-G",0.02,0,0,0,0,0
"453","T","AI-G",0.03,0,0,0,0,0
"454","T","AI-G",0.04,0,0,0,0,17
"455","T","AI-G",0.05,0,0,0,0,19
"456","T","AI-G",0.06,0,0,0,0,22
"457","T","AI-G",0.07,0,0,0,0,35
"458","T","AI-G",0.08,0,0,0,0,51
"459","T","AI-G",0.09,0,0,0,0,69
"460","T","AI-G",0.1,0,0,0,0,84
"461","T","MedI-G",1e-06,0,0,0,0,0
"462","T","MedI-G",2e-06,0,0,0,0,0
"463","T","MedI-G",3e-06,0,0,0,0,0
"464","T","MedI-G",4e-06,0,0,0,0,0
"465","T","MedI-G",5e-06,0,0,0,0,0
"466","T","MedI-G",6e-06,0,0,0,0,0
"467","T","MedI-G",7e-06,0,0,0,0,0
"468","T","MedI-G",8e-06,0,0,0,0,0
"469","T","MedI-G",9e-06,0,0,0,0,0
"470","T","MedI-G",1e-05,0,0,0,0,0
"471","T","MedI-G",2e-05,0,0,0,0,0
"472","T","MedI-G",3e-05,0,0,0,0,0
"473","T","MedI-G",4e-05,0,0,0,0,0
"474","T","MedI-G",5e-05,0,0,0,0,0
"475","T","MedI-G",6e-05,0,0,0,0,0
"476","T","MedI-G",7e-05,0,0,0,0,0
"477","T","MedI-G",8e-05,0,0,0,0,0
"478","T","MedI-G",9e-05,0,0,0,0,0
"479","T","MedI-G",1e-04,0,0,0,0,0
"480","T","MedI-G",2e-04,0,0,0,0,0
"481","T","MedI-G",3e-04,0,0,0,0,0
"482","T","MedI-G",4e-04,0,0,0,0,0
"483","T","MedI-G",5e-04,0,0,0,0,0
"484","T","MedI-G",6e-04,0,0,0,0,0
"485","T","MedI-G",7e-04,0,0,0,0,0
"486","T","MedI-G",8e-04,0,0,0,0,0
"487","T","MedI-G",9e-04,0,0,0,0,0
"488","T","MedI-G",0.001,0,0,0,0,0
"489","T","MedI-G",0.002,0,0,0,0,0
"490","T","MedI-G",0.003,0,0,0,0,0
"491","T","MedI-G",0.004,0,0,0,0,0
"492","T","MedI-G",0.005,0,0,0,0,0
"493","T","MedI-G",0.006,0,0,0,0,0
"494","T","MedI-G",0.007,0,0,0,0,0
"495","T","MedI-G",0.008,0,0,0,0,0
"496","T","MedI-G",0.009,0,0,0,0,0
"497","T","MedI-G",0.01,0,0,0,0,0
"498","T","MedI-G",0.02,0,0,0,0,0
"499","T","MedI-G",0.03,0,0,0,0,0
"500","T","MedI-G",0.04,0,0,0,0,0
"501","T","MedI-G",0.05,0,0,0,0,0
"502","T","MedI-G",0.06,0,0,0,0,0
"503","T","MedI-G",0.07,0,0,0,0,30
"504","T","MedI-G",0.08,0,0,0,0,39
"505","T","MedI-G",0.09,0,0,0,0,45
