"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"348","T","Loess-G",8e-04,0,0,0,0,0
"349","T","Loess-G",9e-04,0,0,0,0,0
"350","T","Loess-G",0.001,0,0,0,0,0
"351","T","Loess-G",0.002,0,0,0,0,0
"352","T","Loess-G",0.003,0,0,0,0,0
"353","T","Loess-G",0.004,0,0,0,0,0
"354","T","Loess-G",0.005,0,0,0,0,0
"355","T","Loess-G",0.006,0,0,0,0,0
"356","T","Loess-G",0.007,0,0,0,0,0
"357","T","Loess-G",0.008,0,0,0,0,0
"358","T","Loess-G",0.009,0,0,0,0,0
"359","T","Loess-G",0.01,0,0,0,0,0
"360","T","Loess-G",0.02,0,0,0,0,0
"361","T","Loess-G",0.03,0,0,0,0,0
"362","T","Loess-G",0.04,0,0,0,0,0
"363","T","Loess-G",0.05,0,0,0,0,0
"364","T","Loess-G",0.06,0,0,0,0,0
"365","T","Loess-G",0.07,0,0,0,0,0
"366","T","Loess-G",0.08,0,0,0,0,0
"367","T","Loess-G",0.09,0,0,0,0,0
"368","T","Loess-G",0.1,0,0,0,0,0
"369","T","RLR-G",1e-06,0,0,0,0,0
"370","T","RLR-G",2e-06,0,0,0,0,0
"371","T","RLR-G",3e-06,0,0,0,0,0
"372","T","RLR-G",4e-06,0,0,0,0,0
"373","T","RLR-G",5e-06,0,0,0,0,0
"374","T","RLR-G",6e-06,0,0,0,0,0
"375","T","RLR-G",7e-06,0,0,0,0,0
"376","T","RLR-G",8e-06,0,0,0,0,0
"377","T","RLR-G",9e-06,0,0,0,0,0
"378","T","RLR-G",1e-05,0,0,0,0,0
"379","T","RLR-G",2e-05,0,0,0,0,0
"380","T","RLR-G",3e-05,0,0,0,0,0
"381","T","RLR-G",4e-05,0,0,0,0,0
"382","T","RLR-G",5e-05,0,0,0,0,0
"383","T","RLR-G",6e-05,0,0,0,0,0
"384","T","RLR-G",7e-05,0,0,0,0,0
"385","T","RLR-G",8e-05,0,0,0,0,0
"386","T","RLR-G",9e-05,0,0,0,0,0
"387","T","RLR-G",1e-04,0,0,0,0,0
"388","T","RLR-G",2e-04,0,0,0,0,0
"389","T","RLR-G",3e-04,0,0,0,0,0
"390","T","RLR-G",4e-04,0,0,0,0,0
"391","T","RLR-G",5e-04,0,0,0,0,0
"392","T","RLR-G",6e-04,0,0,0,0,0
"393","T","RLR-G",7e-04,0,0,0,0,0
"394","T","RLR-G",8e-04,0,0,0,0,0
"395","T","RLR-G",9e-04,0,0,0,0,0
"396","T","RLR-G",0.001,0,0,0,0,0
"397","T","RLR-G",0.002,0,0,0,0,0
"398","T","RLR-G",0.003,0,0,0,0,0
"399","T","RLR-G",0.004,0,0,0,0,0
"400","T","RLR-G",0.005,0,0,0,0,0
"401","T","RLR-G",0.006,0,0,0,0,0
"402","T","RLR-G",0.007,0,0,0,0,0
"403","T","RLR-G",0.008,0,0,0,0,0
"404","T","RLR-G",0.009,0,0,0,0,0
"405","T","RLR-G",0.01,0,0,0,0,0
"406","T","RLR-G",0.02,0,0,0,0,0
"407","T","RLR-G",0.03,0,0,0,0,0
"408","T","RLR-G",0.04,0,0,0,0,0
"409","T","RLR-G",0.05,0,0,0,0,0
"410","T","RLR-G",0.06,0,0,0,0,0
"411","T","RLR-G",0.07,0,0,0,0,0
"412","T","RLR-G",0.08,0,0,0,0,0
"413","T","RLR-G",0.09,0,0,0,0,0
"414","T","RLR-G",0.1,0,0,0,0,0
"415","T","VSN-G",1e-06,0,0,0,0,0
"416","T","VSN-G",2e-06,0,0,0,0,0
"417","T","VSN-G",3e-06,0,0,0,0,0
"418","T","VSN-G",4e-06,0,0,0,0,0
"419","T","VSN-G",5e-06,0,0,0,0,0
"420","T","VSN-G",6e-06,0,0,0,0,0
"421","T","VSN-G",7e-06,0,0,0,0,0
"422","T","VSN-G",8e-06,0,0,0,0,0
"423","T","VSN-G",9e-06,0,0,0,0,0
"424","T","VSN-G",1e-05,0,0,0,0,0
"425","T","VSN-G",2e-05,0,0,0,0,0
"426","T","VSN-G",3e-05,0,0,0,0,0
"427","T","VSN-G",4e-05,0,0,0,0,0
"428","T","VSN-G",5e-05,0,0,0,0,0
"429","T","VSN-G",6e-05,0,0,0,0,0
"430","T","VSN-G",7e-05,0,0,0,0,0
"431","T","VSN-G",8e-05,0,0,0,0,0
"432","T","VSN-G",9e-05,0,0,0,0,0
"433","T","VSN-G",1e-04,0,0,0,0,0
"434","T","VSN-G",2e-04,0,0,0,0,0
"435","T","VSN-G",3e-04,0,0,0,0,0
"436","T","VSN-G",4e-04,0,0,0,0,0
"437","T","VSN-G",5e-04,0,0,0,0,0
"438","T","VSN-G",6e-04,0,0,0,0,0
"439","T","VSN-G",7e-04,0,0,0,0,0
"440","T","VSN-G",8e-04,0,0,0,0,0
"441","T","VSN-G",9e-04,0,0,0,0,0
"442","T","VSN-G",0.001,0,0,0,0,0
"443","T","VSN-G",0.002,0,0,0,0,0
"444","T","VSN-G",0.003,0,0,0,0,0
"445","T","VSN-G",0.004,0,0,0,0,0
"446","T","VSN-G",0.005,0,0,0,0,0
"447","T","VSN-G",0.006,0,0,0,0,0
"448","T","VSN-G",0.007,0,0,0,0,0
"449","T","VSN-G",0.008,0,0,0,0,0
"450","T","VSN-G",0.009,0,0,0,0,0
"451","T","VSN-G",0.01,0,0,0,0,0
"452","T","VSN-G",0.02,0,0,0,0,0
"453","T","VSN-G",0.03,0,0,0,0,0
"454","T","VSN-G",0.04,0,0,0,0,0
"455","T","VSN-G",0.05,0,0,0,0,0
"456","T","VSN-G",0.06,0,0,0,0,0
"457","T","VSN-G",0.07,0,0,0,0,0
"458","T","VSN-G",0.08,0,0,0,0,0
"459","T","VSN-G",0.09,0,0,0,0,0
"460","T","VSN-G",0.1,0,0,0,0,0
"461","T","TI-G",1e-06,0,0,0,0,0
"462","T","TI-G",2e-06,0,0,0,0,0
"463","T","TI-G",3e-06,0,0,0,0,0
"464","T","TI-G",4e-06,0,0,0,0,0
"465","T","TI-G",5e-06,0,0,0,0,0
"466","T","TI-G",6e-06,0,0,0,0,0
"467","T","TI-G",7e-06,0,0,0,0,0
"468","T","TI-G",8e-06,0,0,0,0,0
"469","T","TI-G",9e-06,0,0,0,0,0
"470","T","TI-G",1e-05,0,0,0,0,0
"471","T","TI-G",2e-05,0,0,0,0,0
"472","T","TI-G",3e-05,0,0,0,0,0
"473","T","TI-G",4e-05,0,0,0,0,0
"474","T","TI-G",5e-05,0,0,0,0,0
"475","T","TI-G",6e-05,0,0,0,0,0
"476","T","TI-G",7e-05,0,0,0,0,0
"477","T","TI-G",8e-05,0,0,0,0,0
"478","T","TI-G",9e-05,0,0,0,0,0
"479","T","TI-G",1e-04,0,0,0,0,0
"480","T","TI-G",2e-04,0,0,0,0,0
"481","T","TI-G",3e-04,0,0,0,0,0
"482","T","TI-G",4e-04,0,0,0,0,0
"483","T","TI-G",5e-04,0,0,0,0,0
"484","T","TI-G",6e-04,0,0,0,0,0
"485","T","TI-G",7e-04,0,0,0,0,0
"486","T","TI-G",8e-04,0,0,0,0,0
"487","T","TI-G",9e-04,0,0,0,0,0
"488","T","TI-G",0.001,0,0,0,0,0
"489","T","TI-G",0.002,0,0,0,0,0
"490","T","TI-G",0.003,0,0,0,0,0
"491","T","TI-G",0.004,0,0,0,0,0
"492","T","TI-G",0.005,0,0,0,0,0
"493","T","TI-G",0.006,0,0,0,0,0
"494","T","TI-G",0.007,0,0,0,0,0
"495","T","TI-G",0.008,0,0,0,0,0
"496","T","TI-G",0.009,0,0,0,0,0
"497","T","TI-G",0.01,0,0,0,0,0
"498","T","TI-G",0.02,0,0,0,0,0
"499","T","TI-G",0.03,0,0,0,0,0
"500","T","TI-G",0.04,0,0,0,0,0
"501","T","TI-G",0.05,0,0,0,0,0
"502","T","TI-G",0.06,0,0,0,0,0
"503","T","TI-G",0.07,0,0,0,0,0
"504","T","TI-G",0.08,0,0,0,0,0
"505","T","TI-G",0.09,0,0,0,0,0
"506","T","TI-G",0.1,0,0,0,0,0
"507","T","MedI-G",1e-06,0,0,0,0,0
"508","T","MedI-G",2e-06,0,0,0,0,0
"509","T","MedI-G",3e-06,0,0,0,0,0
"510","T","MedI-G",4e-06,0,0,0,0,0
"511","T","MedI-G",5e-06,0,0,0,0,0
"512","T","MedI-G",6e-06,0,0,0,0,0
"513","T","MedI-G",7e-06,0,0,0,0,0
"514","T","MedI-G",8e-06,0,0,0,0,0
"515","T","MedI-G",9e-06,0,0,0,0,0
"516","T","MedI-G",1e-05,0,0,0,0,0
"517","T","MedI-G",2e-05,0,0,0,0,0
"518","T","MedI-G",3e-05,0,0,0,0,0
"519","T","MedI-G",4e-05,0,0,0,0,0
"520","T","MedI-G",5e-05,0,0,0,0,0
"521","T","MedI-G",6e-05,0,0,0,0,0
"522","T","MedI-G",7e-05,0,0,0,0,0
"523","T","MedI-G",8e-05,0,0,0,0,0
"524","T","MedI-G",9e-05,0,0,0,0,0
"525","T","MedI-G",1e-04,0,0,0,0,0
